| Economy | BANGLADESH |
| Industries: | jute, cotton, garments, paper, leather, fertilizer, iron and steel, cement, petroleum products, tobacco, pharmaceuticals, ceramics, tea, salt, sugar, edible oils, soap and detergent, fabricated metal products, electricity, natural gas |
| Industrial production growth rate: | 9.7% (2015 est.) |
| Labor force: | 81.95 million |
| Labor force: | note: extensive export of labor to Saudi Arabia, Kuwait, UAE, Oman, Qatar, and Malaysia; workers' remittances were $15 billion in 2015, 8% of GDP (2015 est.) |
| Labor force - by occupation: | agriculture: 47% |
| Labor force - by occupation: | industry: 13% |
| Labor force - by occupation: | services: 40% (2010 est.) |
| Unemployment rate: | 4.9% (2015 est.) |
| Unemployment rate: | 5% (2014 est.) |
| Unemployment rate: | note: about 40% of the population is underemployed; many persons counted as employed work only a few hours a week and at low wages |
| Population below poverty line: | 31.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 27% (2010 est.) |
| Distribution of family income - Gini index: | 32.1 (2010) |
| Distribution of family income - Gini index: | 33.6 (1996) |
| Budget: | revenues: $20.96 billion |
| Budget: | expenditures: $30.75 billion (2015 est.) |
| Taxes and other revenues: | 10.4% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -4.8% of GDP (2015 est.) |
| Public debt: | 31.9% of GDP (2015 est.) |
| Public debt: | 27.3% of GDP (2014 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 6.2% (2015 est.) |
| Inflation rate (consumer prices): | 7% (2014 est.) |
| Central bank discount rate: | 5% (31 December 2010) |
| Central bank discount rate: | 5% (31 December 2009) |
| Commercial bank prime lending rate: | 11.71% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 12.95% (31 December 2014 est.) |
| Stock of narrow money: | $21.44 billion (31 December 2015 est.) |
| Stock of narrow money: | $18.99 billion (31 December 2014 est.) |
| Stock of broad money: | $107.5 billion (31 December 2015 est.) |
| Stock of broad money: | $95.2 billion (31 December 2014 est.) |
| Stock of domestic credit: | $113 billion (31 December 2015 est.) |
| Stock of domestic credit: | $103 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $50.98 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $41.73 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $23.55 billion (31 December 2011 est.) |
| Current account balance: | -$2.176 billion (2015 est.) |
| Current account balance: | -$120 million (2014 est.) |
| Exports: | $31.74 billion (2015 est.) |
| Exports: | $29.92 billion (2014 est.) |
| Exports - commodities: | garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather |
| Exports - partners: | US 13.9%, Germany 12.9%, UK 8.9%, France 5%, Spain 4.7% (2015) |
| Imports: | $37.63 billion (2015 est.) |
| Imports: | $37.41 billion (2014 est.) |
| Imports - commodities: | cotton, machinery and equipment, chemicals, iron and steel, foodstuffs |
| Imports - partners: | China 22.4%, India 14.1%, Singapore 5.2% (2015) |
| Reserves of foreign exchange and gold: | $27.49 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $22.31 billion (31 December 2014 est.) |
| Debt - external: | $35.49 billion (31 December 2015 est.) |
| Debt - external: | $34.93 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $12.91 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $10.03 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $188 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $159 million (31 December 2014 est.) |
| Exchange rates: | taka (BDT) per US dollar - |
| Exchange rates: | 77.947 (2015 est.) |
| Exchange rates: | 77.641 (2014 est.) |
| Exchange rates: | 77.614 (2013 est.) |
| Exchange rates: | 81.86 (2012 est.) |
| Exchange rates: | 74.152 (2011 est.) |
