| Economy | BANGLADESH |
| Agriculture - products: | rice, jute, tea, wheat, sugarcane, potatoes, tobacco, pulses, oilseeds, spices, fruit; beef, milk, poultry |
| Industries: | jute, cotton, garments, paper, leather, fertilizer, iron and steel, cement, petroleum products, tobacco, pharmaceuticals, ceramics, tea, salt, sugar, edible oils, soap and detergent, fabricated metal products, electricity, natural gas |
| Industrial production growth rate: | 11.1% (2016 est.) |
| Labor force: | 72.05 million |
| Labor force: | note: extensive migration of labor to Saudi Arabia, Kuwait, UAE, Oman, Qatar, and Malaysia (2016 est.) |
| Labor force - by occupation: | agriculture: 47% |
| Labor force - by occupation: | industry: 13% |
| Labor force - by occupation: | services: 40% (2010 est.) |
| Unemployment rate: | 4.1% (2016 est.) |
| Unemployment rate: | 4.1% (2015 est.) |
| Unemployment rate: | note: about 40% of the population is underemployed; many persons counted as employed work only a few hours a week and at low wages |
| Population below poverty line: | 31.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 27% (2010 est.) |
| Distribution of family income - Gini index: | 32.1 (2010) |
| Distribution of family income - Gini index: | 33.6 (1996) |
| Budget: | revenues: $22.61 billion |
| Budget: | expenditures: $33.72 billion (2016 est.) |
| Taxes and other revenues: | 9.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4.9% of GDP (2016 est.) |
| Public debt: | 26.9% of GDP (2016 est.) |
| Public debt: | 26.7% of GDP (2015 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 5.7% (2016 est.) |
| Inflation rate (consumer prices): | 6.2% (2015 est.) |
| Central bank discount rate: | 5% (30 October 2016) |
| Central bank discount rate: | 5% (30 October 2015) |
| Commercial bank prime lending rate: | 10.41% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 11.71% (31 December 2015 est.) |
| Stock of narrow money: | $25.94 billion (31 December 2016 est.) |
| Stock of narrow money: | $21.44 billion (31 December 2015 est.) |
| Stock of broad money: | $121.1 billion (31 December 2016 est.) |
| Stock of broad money: | $106.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $133.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $115.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $50.98 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $41.73 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $23.55 billion (31 December 2011 est.) |
| Current account balance: | $1.381 billion (2016 est.) |
| Current account balance: | $2.58 billion (2015 est.) |
| Exports: | $34.14 billion (2016 est.) |
| Exports: | $31.74 billion (2015 est.) |
| Exports - commodities: | garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather |
| Exports - partners: | US 13.1%, Germany 12.7%, UK 8.6%, France 5.1%, Spain 5% (2016) |
| Imports: | $40.37 billion (2016 est.) |
| Imports: | $37.86 billion (2015 est.) |
| Imports - commodities: | cotton, machinery and equipment, chemicals, iron and steel, foodstuffs |
| Imports - partners: | China 24.3%, India 13.4%, Singapore 5.1%, Japan 4.5% (2016) |
| Reserves of foreign exchange and gold: | $32.28 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $27.49 billion (31 December 2015 est.) |
| Debt - external: | $41.85 billion (31 December 2016 est.) |
| Debt - external: | $38.64 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $13.24 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $12.91 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $228.5 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $188 million (31 December 2015 est.) |
| Exchange rates: | taka (BDT) per US dollar - |
| Exchange rates: | 78.468 (2016 est.) |
| Exchange rates: | 78.468 (2015 est.) |
| Exchange rates: | 77.947 (2014 est.) |
| Exchange rates: | 77.614 (2013 est.) |
| Exchange rates: | 81.86 (2012 est.) |
