| Economy | Bosnia and Herzegovina |
| GDP - composition, by end use: | household consumption: 77.4% (2017 est.) |
| GDP - composition, by end use: | government consumption: 20% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 16.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 2.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 38.7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -55.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 28.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 64.3% (2017 est.) |
| Agriculture - products: | wheat, corn, fruits, vegetables; livestock |
| Industries: | steel, coal, iron ore, lead, zinc, manganese, bauxite, aluminum, motor vehicle assembly, textiles, tobacco products, wooden furniture, ammunition, domestic appliances, oil refining |
| Industrial production growth rate: | 3% (2017 est.) |
| Labor force: | 1.38 million (2017 est.) |
| Labor force - by occupation: | agriculture: 18% |
| Labor force - by occupation: | industry: 30.4% |
| Labor force - by occupation: | services: 51.7% (2017 est.) |
| Unemployment rate: | 20.5% (2017 est.) |
| Unemployment rate: | 25.4% (2016 est.) |
| Unemployment rate: | note: official rate; actual rate is lower as many technically unemployed persons work in the gray economy |
| Population below poverty line: | 16.9% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.9% |
| Household income or consumption by percentage share: | highest 10%: 25.8% (2011 est.) |
| Distribution of family income - Gini index: | 33.8 (2011) |
| Distribution of family income - Gini index: | 33.1 (2007) |
| Budget: | revenues: 7.993 billion (2017 est.) |
| Budget: | expenditures: 7.607 billion (2017 est.) |
| Taxes and other revenues: | 44% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 2.1% (of GDP) (2017 est.) |
| Public debt: | 39.5% of GDP (2017 est.) |
| Public debt: | 44.1% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.2% (2017 est.) |
| Inflation rate (consumer prices): | -1.1% (2016 est.) |
| Commercial bank prime lending rate: | 4.38% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.24% (31 December 2016 est.) |
| Stock of narrow money: | $6.483 billion (31 December 2017 est.) |
| Stock of narrow money: | $5.013 billion (31 December 2016 est.) |
| Stock of broad money: | $6.483 billion (31 December 2017 est.) |
| Stock of broad money: | $5.013 billion (31 December 2016 est.) |
| Stock of domestic credit: | $11.3 billion (31 December 2017 est.) |
| Stock of domestic credit: | $9.27 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$873 million (2017 est.) |
| Current account balance: | -$821 million (2016 est.) |
| Exports: | $5.205 billion (2017 est.) |
| Exports: | $4.288 billion (2016 est.) |
| Exports - partners: | Germany 14.7%, Croatia 11.8%, Italy 11.1%, Serbia 10%, Slovenia 9%, Austria 8.3% (2017) |
| Exports - commodities: | metals, clothing, wood products |
| Imports: | $9.547 billion (2017 est.) |
| Imports: | $8.337 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, chemicals, fuels, foodstuffs |
| Imports - partners: | Germany 11.6%, Italy 11.3%, Serbia 11.1%, Croatia 10.1%, China 6.5%, Slovenia 5%, Russia 4.7%, Turkey 4.2% (2017) |
| Reserves of foreign exchange and gold: | $6.474 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $5.137 billion (31 December 2016 est.) |
| Debt - external: | $10.87 billion (31 December 2017 est.) |
| Debt - external: | $10.64 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $7.332 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $7.071 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $0 (2014) |
| Exchange rates: | konvertibilna markas (BAM) per US dollar - |
| Exchange rates: | 1.729 (2017 est.) |
| Exchange rates: | 1.7674 (2016 est.) |
| Exchange rates: | 1.7674 (2015 est.) |
| Exchange rates: | 1.7626 (2014 est.) |
| Exchange rates: | 1.4718 (2013 est.) |
