| Economy | Lithuania |
| Labor force - by occupation: | industry: 19.6% |
| Labor force - by occupation: | services: 72.5% (2012 est.) |
| Unemployment rate: | 13.2% (2012 est.) |
| Unemployment rate: | 15.3% (2011 est.) |
| Population below poverty line: | 4% (2008) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 29.1% (2008) |
| Distribution of family income - Gini index: | 35.5 (2009) |
| Distribution of family income - Gini index: | 34 (1999) |
| Budget: | revenues: $13.87 billion |
| Budget: | expenditures: $15.27 billion (2012 est.) |
| Taxes and other revenues: | 33.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.4% of GDP (2012 est.) |
| Public debt: | 41% of GDP (2012 est.) |
| Public debt: | 39.3% of GDP (2011 est.) |
| Public debt: | note: official data; data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.1% (2012 est.) |
| Inflation rate (consumer prices): | 4.1% (2011 est.) |
| Central bank discount rate: | 3% (31 December 2010 est.) |
| Central bank discount rate: | 2.06% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 5.28% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.78% (31 December 2011 est.) |
| Stock of narrow money: | $13.77 billion (31 December 2012 est.) |
| Stock of narrow money: | $11.73 billion (31 December 2011 est.) |
| Stock of broad money: | $19.32 billion (31 December 2012 est.) |
| Stock of broad money: | $18.74 billion (31 December 2011 est.) |
| Stock of domestic credit: | $22.69 billion (31 December 2012 est.) |
| Stock of domestic credit: | $22.83 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $4.075 billion (31 December 2011) |
| Market value of publicly traded shares: | $5.661 billion (31 December 2010) |
| Market value of publicly traded shares: | $4.477 billion (31 December 2009) |
| Current account balance: | $-231 million (2012 est.) |
| Current account balance: | $-619 million (2011 est.) |
| Exports: | $28.76 billion (2012 est.) |
| Exports: | $27.03 billion (2011 est.) |
| Exports - commodities: | mineral products, machinery and equipment, chemicals, textiles , foodstuffs, plastics |
| Exports - partners: | Russia 19%, Latvia 11%, Germany 7.9%, Estonia 7.8%, UK 6.4%, Poland 6.1%, Netherlands 5.9%, Belarus 4.5% (2012) |
| Imports: | $30.44 billion (2012 est.) |
| Imports: | $29.52 billion (2011 est.) |
| Imports - commodities: | mineral products, machinery and equipment, transport equipment, chemicals, textiles and clothing, metals |
| Imports - partners: | Russia 31.6%, Germany 10%, Poland 9.9%, Latvia 6.2%, Netherlands 5.6% (2012) |
| Reserves of foreign exchange and gold: | $8.529 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $8.21 billion (31 December 2011 est.) |
| Debt - external: | $32.84 billion (31 December 2012 est.) |
| Debt - external: | $31.01 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $15.56 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $14.89 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $2.729 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $2.482 billion (31 December 2011 est.) |
| Exchange rates: | litai (LTL) per US dollar - |
| Exchange rates: | 2.69 (2012 est.) |
| Exchange rates: | 2.48 (2011 est.) |
| Exchange rates: | 2.61 (2010 est.) |
| Exchange rates: | 2.48 (2009) |
| Exchange rates: | 2.33 (2008) |
