| Economy | Tajikistan |
| Debt - external: | $3.439 billion (31 December 2012 est.) |
| Debt - external: | $3.323 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $1.8 billion (February 2013 est.) |
| Stock of direct foreign investment - abroad: | $18.5 billion (31 December 2010 est.) |
| Stock of direct foreign investment - abroad: | $16.3 billion (31 December 2009 est.) |
| Exchange rates: | Tajikistani somoni (TJS) per US dollar - |
| Exchange rates: | 4.74 (2012 est.) |
| Exchange rates: | 4.61 (2011 est.) |
| Exchange rates: | 4.38 (2010 est.) |
| Exchange rates: | 4.14 (2009) |
| Exchange rates: | 3.46 (2008) |
