| Economy | ICELAND |
| Debt - external: | $25.02 billion (31 December 2016 est.) |
| Debt - external: | $30.25 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $13.89 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $16.26 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $17.64 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $16.47 billion (31 December 2015 est.) |
| Exchange rates: | Icelandic kronur (ISK) per US dollar - |
| Exchange rates: | 129.3 (2016 est.) |
| Exchange rates: | 131.92 (2015 est.) |
| Exchange rates: | 131.92 (2014 est.) |
| Exchange rates: | 116.77 (2013 est.) |
| Exchange rates: | 125.08 (2012 est.) |
