| Economy | NETHERLANDS |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 1.85% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 2.27% (31 December 2014 est.) |
| Stock of narrow money: | $405.7 billion (31 December 2015 est.) |
| Stock of narrow money: | $435 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.119 trillion (31 December 2014 est.) |
| Stock of broad money: | $1.158 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $1.619 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $1.855 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $671.7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $698.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $578.9 billion (31 December 2013 est.) |
| Current account balance: | $80.99 billion (2015 est.) |
| Current account balance: | $93.4 billion (2014 est.) |
| Exports: | $476.5 billion (2015 est.) |
| Exports: | $574.7 billion (2014 est.) |
| Exports - commodities: | machinery and equipment, chemicals, fuels; foodstuffs |
| Exports - partners: | Germany 24.5%, Belgium 11.1%, UK 9.3%, France 8.4%, Italy 4.2% (2015) |
| Imports: | $389.6 billion (2015 est.) |
| Imports: | $469.4 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, fuels, foodstuffs, clothing |
| Imports - partners: | Germany 14.7%, China 14.5%, Belgium 8.2%, US 8.1%, UK 5.1% (2015) |
| Reserves of foreign exchange and gold: | $38.21 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $42.92 billion (31 December 2014 est.) |
| Debt - external: | $4.154 trillion (31 December 2014 est.) |
| Debt - external: | $4.524 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $739.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $671.2 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $1.102 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $1.046 trillion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
