| Economy | NETHERLANDS |
| Reserves of foreign exchange and gold: | $36.13 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $38.21 billion (31 December 2015 est.) |
| Debt - external: | $4.063 trillion (31 December 2016 est.) |
| Debt - external: | $4.054 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $4.759 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $4.775 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $5.623 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $5.615 trillion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
