| Economy | Netherlands |
| Unemployment rate: | 5.8% (2011 est.) |
| Population below poverty line: | 10.5% (2005) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 22.9% (1999) |
| Distribution of family income - Gini index: | 30.9 (2007) |
| Distribution of family income - Gini index: | 32.6 (1994) |
| Investment (gross fixed): | 16.6% of GDP (2012 est.) |
| Budget: | revenues: $347.4 billion |
| Budget: | expenditures: $386.6 billion (2012 est.) |
| Taxes and other revenues: | 45.1% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -5.1% of GDP (2012 est.) |
| Public debt: | 68.7% of GDP (2012 est.) |
| Public debt: | 65.1% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment. Debt instruments for the social funds are not sold at public auctions. |
| Inflation rate (consumer prices): | 2.4% (2012 est.) |
| Inflation rate (consumer prices): | 2.3% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 2.5% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 3.18% (31 December 2011 est.) |
| Stock of narrow money: | $375.8 billion (31 December 2012 est.) |
| Stock of narrow money: | $367.2 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.119 trillion (31 December 2011 est.) |
| Stock of broad money: | $1.088 trillion (31 December 2010 est.) |
| Stock of domestic credit: | $1.693 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $1.644 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $594.7 billion (31 December 2011) |
| Market value of publicly traded shares: | $661.2 billion (31 December 2010) |
| Market value of publicly traded shares: | $542.5 billion (31 December 2009) |
| Agriculture - products: | grains, potatoes, sugar beets, fruits, vegetables; livestock |
| Industrial production growth rate: | -0.6% (2011 est.) |
| Current account balance: | $77.2 billion (2012 est.) |
| Current account balance: | $70.92 billion (2011 est.) |
| Exports: | $556.5 billion (2012 est.) |
| Exports: | $550.2 billion (2011 est.) |
| Exports - commodities: | machinery and equipment, chemicals, fuels; foodstuffs |
| Exports - partners: | Germany 26.2%, Belgium 14.1%, France 9.3%, UK 7.7%, Italy 4.8% (2011) |
| Imports: | $490.1 billion (2012 est.) |
| Imports: | $492.1 billion (2011 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, fuels, foodstuffs, clothing |
| Imports - partners: | Germany 14.5%, China 11.8%, Belgium 8.6%, UK 6.1%, Russia 6%, US 5.9%, France 4% (2011) |
| Reserves of foreign exchange and gold: | $51.27 billion (31 December 2011 est.) |
| Reserves of foreign exchange and gold: | $46.24 billion (2010 est.) |
| Debt - external: | $2.655 trillion (30 June 2011) |
| Debt - external: | $3.733 trillion (31 December 2009) |
| Stock of direct foreign investment - at home: | $608.9 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $589.1 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $971.9 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $943.1 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7838 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
| Fiscal year: | calendar year |
