| Economy | New Zealand |
| Reserves of foreign exchange and gold: | $20.68 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $17.81 billion (31 December 2016 est.) |
| Debt - external: | $91.62 billion (31 December 2017 est.) |
| Debt - external: | $84.03 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $84.19 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $70.4 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $16.74 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $18.03 billion (31 December 2015 est.) |
| Exchange rates: | New Zealand dollars (NZD) per US dollar - |
| Exchange rates: | 1.416 (2017 est.) |
| Exchange rates: | 1.4341 (2016 est.) |
| Exchange rates: | 1.4341 (2015 est.) |
| Exchange rates: | 1.4279 (2014 est.) |
| Exchange rates: | 1.2039 (2013 est.) |
