| Economy | United Kingdom |
| Labor force - by occupation: | industry: 18.2% |
| Labor force - by occupation: | services: 80.4% (2006 est.) |
| Unemployment rate: | 7.2% (2013 est.) |
| Unemployment rate: | 7.8% (2012 est.) |
| Population below poverty line: | 16.2% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2012) |
| Distribution of family income - Gini index: | 32.3 (2012) |
| Distribution of family income - Gini index: | 34 (2005) |
| Budget: | revenues: $1.023 trillion |
| Budget: | expenditures: $1.112 trillion (2013 est.) |
| Taxes and other revenues: | 41.1% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -3.6% of GDP (2013 est.) |
| Public debt: | 91.1% of GDP (2013 est.) |
| Public debt: | 88.7% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 6 April - 5 April |
| Inflation rate (consumer prices): | 2% (2013 est.) |
| Inflation rate (consumer prices): | 2.7% (2012 est.) |
| Central bank discount rate: | 0.5% (31 December 2013 est.) |
| Central bank discount rate: | 0.5% (2012 est.) |
| Commercial bank prime lending rate: | 4.4% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 4.22% (31 December 2012 est.) |
| Stock of narrow money: | $111.6 billion (28 February 2014 est.) |
| Stock of narrow money: | $101.8 billion (31 December 2012 est.) |
| Stock of broad money: | $2.881 trillion (28 February 2014 est.) |
| Stock of broad money: | $3.401 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $3.636 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.756 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $3.019 trillion |
| Market value of publicly traded shares: | $2.903 trillion (31 December 2011) |
| Market value of publicly traded shares: | $3.107 trillion (31 December 2010 est.) |
| Current account balance: | -$93.6 billion (2013 est.) |
| Current account balance: | -$93.6 billion (2012 est.) |
| Exports: | $813.2 billion (2013 est.) |
| Exports: | $801.7 billion (2012 est.) |
| Exports - commodities: | manufactured goods, fuels, chemicals; food, beverages, tobacco |
| Exports - partners: | Germany 11.3%, US 10.5%, Netherlands 8.8%, France 7.4%, Ireland 6.2%, Belgium 5.1% (2012) |
| Imports: | $782.5 billion (2013 est.) |
| Imports: | $777.6 billion (2012 est.) |
| Imports - commodities: | manufactured goods, machinery, fuels; foodstuffs |
| Imports - partners: | Germany 12.6%, China 8%, Netherlands 7.5%, US 6.7%, France 5.4%, Belgium 4.4%, Norway 4% (2012) |
| Reserves of foreign exchange and gold: | $87.48 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $105.1 billion (31 December 2012 est.) |
| Debt - external: | $9.577 trillion (31 December 2013 est.) |
| Debt - external: | $9.457 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $1.557 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $1.321 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.884 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.81 trillion (31 December 2012 est.) |
| Exchange rates: | British pounds (GBP) per US dollar - |
| Exchange rates: | 0.6391 (2013 est.) |
| Exchange rates: | 0.6307 (2012 est.) |
| Exchange rates: | 0.6472 (2010 est.) |
| Exchange rates: | 0.6175 (2009) |
| Exchange rates: | 0.5302 (2008) |
