| Economy | UNITED KINGDOM |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 12.2% of GDP (2014 est.) |
| Gross national saving: | 12.5% of GDP (2013 est.) |
| Gross national saving: | 12.6% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 64.8% |
| GDP - composition, by end use: | government consumption: 19.5% |
| GDP - composition, by end use: | investment in fixed capital: 17.1% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 28.4% |
| GDP - composition, by end use: | imports of goods and services: -30.3% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.6% |
| GDP - composition, by sector of origin: | industry: 20.6% |
| GDP - composition, by sector of origin: | services: 78.8% |
| GDP - composition, by sector of origin: | (2014 est.) |
| Agriculture - products: | cereals, oilseed, potatoes, vegetables; cattle, sheep, poultry; fish |
| Industries: | machine tools, electric power equipment, automation equipment, railroad equipment, shipbuilding, aircraft, motor vehicles and parts, electronics and communications equipment, metals, chemicals, coal, petroleum, paper and paper products, food processing, textiles, clothing, other consumer goods |
| Industrial production growth rate: | 0.7% (2014 est.) |
| Labor force: | 32.62 million (2013 est.) |
| Labor force - by occupation: | agriculture: 1.3% |
| Labor force - by occupation: | industry: 15.2% |
| Labor force - by occupation: | services: 83.5% (2014 est.) |
| Unemployment rate: | 6.2% (2014 est.) |
| Unemployment rate: | 7.6% (2013 est.) |
| Population below poverty line: | 15% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2012) |
| Distribution of family income - Gini index: | 32.4 (2012) |
| Distribution of family income - Gini index: | 33.4 (2010) |
| Budget: | revenues: $936.2 billion |
| Budget: | expenditures: $1.106 trillion (2014 est.) |
| Taxes and other revenues: | 32.9% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -6% of GDP (2014 est.) |
| Public debt: | 79.1% of GDP (2014 est.) |
| Public debt: | 74.2% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 6 April - 5 April |
| Inflation rate (consumer prices): | 1.5% (2014 est.) |
| Inflation rate (consumer prices): | 2.6% (2013 est.) |
| Central bank discount rate: | 0.5% (31 December 2014) |
| Central bank discount rate: | 0.5% (31 December 2013) |
| Commercial bank prime lending rate: | 4.4% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 4.37% (31 December 2013 est.) |
| Stock of narrow money: | $114.2 billion (31 December 2014 est.) |
| Stock of narrow money: | $108.6 billion (31 December 2013 est.) |
| Stock of broad money: | $3.567 trillion (31 December 2014 est.) |
| Stock of broad money: | $3.491 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.812 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $3.699 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $3.019 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $2.903 trillion (31 December 2011) |
| Market value of publicly traded shares: | $3.107 trillion (31 December 2010 est.) |
| Current account balance: | -$162.2 billion (2014 est.) |
| Current account balance: | -$119.9 billion (2013 est.) |
| Exports: | $503.4 billion (2014 est.) |
| Exports: | $476.6 billion (2013 est.) |
| Exports - commodities: | manufactured goods, fuels, chemicals; food, beverages, tobacco |
| Exports - partners: | Germany 10.8%, US 10.4%, Netherlands 8.1%, Switzerland 7.2%, France 6.5%, Ireland 6.4%, Belgium 4.5% (2014) |
| Imports: | $802.1 billion (2014 est.) |
| Imports: | $824.4 billion (2013 est.) |
| Imports - commodities: | manufactured goods, machinery, fuels; foodstuffs |
| Imports - partners: | Germany 14.9%, China 9%, Netherlands 7.8%, US 6.5%, France 6.1%, Belgium 5.2%, Italy 4.1% (2014) |
| Reserves of foreign exchange and gold: | $109.1 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $108.8 billion (31 December 2013 est.) |
| Debt - external: | $8.795 trillion (31 December 2013 est.) |
| Debt - external: | $8.572 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $1.446 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $1.37 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.884 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $1.815 trillion (31 December 2013 est.) |
| Exchange rates: | British pounds (GBP) per US dollar - |
| Exchange rates: | 0.6003 (2014 est.) |
| Exchange rates: | 0.6391 (2013 est.) |
| Exchange rates: | 0.63 (2012 est.) |
| Exchange rates: | 0.624 (2011 est.) |
| Exchange rates: | 0.6472 (2010 est.) |
