| Economy | UNITED KINGDOM |
| Current account balance: | $-122.6 billion (2015 est.) |
| Exports: | $407.3 billion (2016 est.) |
| Exports: | $439.4 billion (2015 est.) |
| Exports - commodities: | manufactured goods, fuels, chemicals; food, beverages, tobacco |
| Exports - partners: | US 14.8%, Germany 10.7%, France 6.4%, Netherlands 6.2%, Ireland 5.6%, Switzerland 4.6%, China 4.4% (2016) |
| Imports: | $588.4 billion (2016 est.) |
| Imports: | $622.3 billion (2015 est.) |
| Imports - commodities: | manufactured goods, machinery, fuels; foodstuffs |
| Imports - partners: | Germany 13.6%, US 9.3%, China 9.2%, Netherlands 7.4%, France 5.2%, Belgium 4.9%, Switzerland 4.5% (2016) |
| Reserves of foreign exchange and gold: | $135 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $129.6 billion (31 December 2015 est.) |
| Debt - external: | $8.126 trillion (31 March 2016 est.) |
| Debt - external: | $8.642 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $1.858 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $2.04 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $1.611 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.89 trillion (31 December 2015 est.) |
| Exchange rates: | British pounds (GBP) per US dollar - |
| Exchange rates: | 0.738 (2016 est.) |
| Exchange rates: | 0.738 (2015 est.) |
| Exchange rates: | 0.607 (2014 est.) |
| Exchange rates: | 0.6391 (2013 est.) |
| Exchange rates: | 0.6324 (2012 est.) |
