| Economy | United Kingdom |
| Stock of domestic credit: | $3.22 trillion (31 December 2017 est.) |
| Stock of domestic credit: | $2.785 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $3.019 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $2.903 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $3.107 trillion (31 December 2010 est.) |
| Current account balance: | -$99.21 billion (2017 est.) |
| Current account balance: | -$139.3 billion (2016 est.) |
| Exports: | $441.2 billion (2017 est.) |
| Exports: | $407.3 billion (2016 est.) |
| Exports - partners: | US 13.2%, Germany 10.5%, France 7.4%, Netherlands 6.2%, Ireland 5.6%, China 4.8%, Switzerland 4.5% (2017) |
| Exports - commodities: | manufactured goods, fuels, chemicals; food, beverages, tobacco |
| Imports: | $615.9 billion (2017 est.) |
| Imports: | $591 billion (2016 est.) |
| Imports - commodities: | manufactured goods, machinery, fuels; foodstuffs |
| Imports - partners: | Germany 13.7%, US 9.5%, China 9.3%, Netherlands 8%, France 5.4%, Belgium 5% (2017) |
| Reserves of foreign exchange and gold: | $150.8 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $129.6 billion (31 December 2015 est.) |
| Debt - external: | $8.126 trillion (31 March 2016 est.) |
| Debt - external: | $8.642 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $2.078 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $1.858 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $2.11 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $1.611 trillion (31 December 2016 est.) |
| Exchange rates: | British pounds (GBP) per US dollar - |
| Exchange rates: | 0.7836 (2017 est.) |
| Exchange rates: | 0.738 (2016 est.) |
| Exchange rates: | 0.738 (2015 est.) |
| Exchange rates: | 0.607 (2014 est.) |
| Exchange rates: | 0.6391 (2013 est.) |
