| Economy | MOZAMBIQUE |
| Imports - partners: | South Africa 26.8%, China 19.3%, India 13.9% (2015) |
| Reserves of foreign exchange and gold: | $2.582 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $3.22 billion (31 December 2014 est.) |
| Debt - external: | $9.743 billion (31 December 2015 est.) |
| Debt - external: | $9.171 billion (31 December 2014 est.) |
| Exchange rates: | meticais (MZM) per US dollar - |
| Exchange rates: | 39.983 (2015 est.) |
| Exchange rates: | 31.367 (2014 est.) |
| Exchange rates: | 31.367 (2013 est.) |
| Exchange rates: | 28.38 (2012 est.) |
| Exchange rates: | 29.075 (2011 est.) |
