| Economy | FINLAND |
| Industrial production growth rate: | 2% (2016 est.) |
| Labor force: | 2.685 million (2016 est.) |
| Labor force - by occupation: | agriculture: 4.5% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 71.5% (2014) |
| Unemployment rate: | 8.8% (2016 est.) |
| Unemployment rate: | 9.3% (2015 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 4.2% |
| Household income or consumption by percentage share: | highest 10%: 21.5% (2015) |
| Distribution of family income - Gini index: | 21.5 (2015) |
| Distribution of family income - Gini index: | 26.8 (2008) |
| Budget: | revenues: $128.4 billion |
| Budget: | expenditures: $133 billion |
| Budget: | note: Central Government Budget (2016 est.) |
| Taxes and other revenues: | 54.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2016 est.) |
| Public debt: | 63.6% of GDP (2016 est.) |
| Public debt: | 63.7% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.4% (2016 est.) |
| Inflation rate (consumer prices): | -0.1% (2015 est.) |
| Central bank discount rate: | 0.25% (31 December 2016) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 1.79% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 2% (31 December 2015 est.) |
| Stock of narrow money: | $124 billion (31 December 2016 est.) |
| Stock of narrow money: | $121.4 billion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $152.9 billion (31 December 2016 est.) |
| Stock of broad money: | $155.6 billion (31 December 2015 est.) |
| Stock of domestic credit: | $351.6 billion (31 December 2016 est.) |
| Stock of domestic credit: | $358 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $133.7 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $NA (31 December 2015 est.) |
| Market value of publicly traded shares: | $154.4 billion (31 December 2014 est.) |
| Current account balance: | $-2.534 billion (2016 est.) |
| Current account balance: | $-1.394 billion (2015 est.) |
| Exports: | $58.32 billion (2016 est.) |
| Exports: | $59.65 billion (2015 est.) |
| Exports - commodities: | electrical and optical equipment, machinery, transport equipment, paper and pulp, chemicals, basic metals; timber |
| Exports - partners: | Germany 13.1%, Sweden 10.6%, US 7.6%, Netherlands 6.7%, Russia 5.7%, China 5.2%, UK 4.8% (2016) |
| Imports: | $57.66 billion (2016 est.) |
| Imports: | $57.48 billion (2015 est.) |
| Imports - commodities: | foodstuffs, petroleum and petroleum products, chemicals, transport equipment, iron and steel, machinery, computers, electronic industry products, textile yarn and fabrics, grains |
| Imports - partners: | Germany 16.9%, Sweden 16.1%, Russia 11.1%, Netherlands 8.6% (2016) |
| Reserves of foreign exchange and gold: | $10.48 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $10.02 billion (31 December 2015 est.) |
| Debt - external: | $544.7 billion (31 March 2016 est.) |
| Debt - external: | $524.7 billion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $114.6 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $130.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $153.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $142.7 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
