| Economy | SENEGAL |
| GDP - composition, by end use: | investment in fixed capital: 26% |
| GDP - composition, by end use: | investment in inventories: -2% |
| GDP - composition, by end use: | exports of goods and services: 29.1% |
| GDP - composition, by end use: | imports of goods and services: -45.9% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.2% |
| GDP - composition, by sector of origin: | industry: 23.7% |
| GDP - composition, by sector of origin: | services: 59% (2016 est.) |
| Agriculture - products: | peanuts, millet, corn, sorghum, rice, cotton, tomatoes, green vegetables; cattle, poultry, pigs; fish |
| Industries: | agricultural and fish processing, phosphate mining, fertilizer production, petroleum refining, zircon, and gold mining, construction materials, ship construction and repair |
| Industrial production growth rate: | 8% (2016 est.) |
| Labor force: | 6.737 million (2016 est.) |
| Labor force - by occupation: | agriculture: 77.5% |
| Labor force - by occupation: | industry and services: 22.5% (2007 est.) |
| Unemployment rate: | 48% (2007 est.) |
| Population below poverty line: | 46.7% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2011) |
| Distribution of family income - Gini index: | 40.3 (2011) |
| Budget: | revenues: $3.906 billion |
| Budget: | expenditures: $4.535 billion (2016 est.) |
| Taxes and other revenues: | 26.4% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4.3% of GDP (2016 est.) |
| Public debt: | 58.6% of GDP (2016 est.) |
| Public debt: | 58.1% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.9% (2016 est.) |
| Inflation rate (consumer prices): | 0.1% (2015 est.) |
| Central bank discount rate: | 0.25% (31 December 2010) |
| Central bank discount rate: | 4.25% (31 December 2009) |
| Commercial bank prime lending rate: | 16.4% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 16.41% (31 December 2015 est.) |
| Stock of narrow money: | $4.736 billion (31 December 2016 est.) |
| Stock of narrow money: | $4.264 billion (31 December 2015 est.) |
| Stock of broad money: | $7.244 billion (31 December 2016 est.) |
| Stock of broad money: | $6.549 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.15 billion (31 December 2016 est.) |
| Stock of domestic credit: | $4.867 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-783 million (2016 est.) |
| Current account balance: | $-1.216 billion (2015 est.) |
| Exports: | $2.498 billion (2016 est.) |
| Exports: | $2.31 billion (2015 est.) |
| Exports - commodities: | fish, groundnuts (peanuts), petroleum products, phosphates, cotton |
| Exports - partners: | Mali 18.2%, Switzerland 10.6%, India 8.2%, Cote dIvoire 5.3%, China 5% (2016) |
| Imports: | $4.993 billion (2016 est.) |
| Imports: | $4.918 billion (2015 est.) |
| Imports - commodities: | food and beverages, capital goods, fuels |
| Imports - partners: | France 15.9%, China 10.3%, Nigeria 7.8%, India 7.6%, Netherlands 5.3%, Spain 4.9% (2016) |
| Reserves of foreign exchange and gold: | $116.9 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $153.6 million (31 December 2015 est.) |
| Debt - external: | $6.327 billion (31 December 2016 est.) |
| Debt - external: | $5.893 billion (31 December 2015 est.) |
| Exchange rates: | Communaute Financiere Africaine francs (XOF) per US dollar - |
| Exchange rates: | 593.01 (2016 est.) |
| Exchange rates: | 593.01 (2015 est.) |
| Exchange rates: | 591.45 (2014 est.) |
| Exchange rates: | 494.42 (2013 est.) |
| Exchange rates: | 510.53 (2012 est.) |
