| Economy | Finland |
| GDP - composition, by sector of origin: | services: 69.1% (2017 est.) |
| Agriculture - products: | barley, wheat, sugar beets, potatoes; dairy cattle; fish |
| Industries: | metals and metal products, electronics, machinery and scientific instruments, shipbuilding, pulp and paper, foodstuffs, chemicals, textiles, clothing |
| Industrial production growth rate: | 6.2% (2017 est.) |
| Labor force: | 2.473 million (2017 est.) |
| Labor force - by occupation: | agriculture: 4% |
| Labor force - by occupation: | industry: 20.7% |
| Labor force - by occupation: | services: 75.3% (2017 est.) |
| Unemployment rate: | 8.5% (2017 est.) |
| Unemployment rate: | 8.8% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 45.2% (2013) |
| Household income or consumption by percentage share: | highest 10%: 45.2% (2013) |
| Distribution of family income - Gini index: | 27.2 (2016) |
| Distribution of family income - Gini index: | 22.2 (1995) |
| Budget: | revenues: 134.2 billion (2017 est.) |
| Budget: | expenditures: 135.6 billion (2017 est.) |
| Budget: | note: Central Government Budget data; these numbers represent a significant reduction from previous official reporting |
| Taxes and other revenues: | 53.1% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.6% (of GDP) (2017 est.) |
| Public debt: | 61.3% of GDP (2017 est.) |
| Public debt: | 62.9% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.8% (2017 est.) |
| Inflation rate (consumer prices): | 0.4% (2016 est.) |
| Central bank discount rate: | 1.25% (31 December 2017) |
| Central bank discount rate: | 0% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 1.61% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 1.79% (31 December 2016 est.) |
| Stock of narrow money: | $152.6 billion (31 December 2017 est.) |
| Stock of narrow money: | $124 billion (31 December 2016 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $152.6 billion (31 December 2017 est.) |
| Stock of broad money: | $124 billion (31 December 2016 est.) |
| Stock of domestic credit: | $323.9 billion (31 December 2017 est.) |
| Stock of domestic credit: | $351.6 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $231 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $207.5 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $208.7 billion (31 December 2014 est.) |
| Current account balance: | $1.806 billion (2017 est.) |
| Current account balance: | -$819 million (2016 est.) |
| Exports: | $67.73 billion (2017 est.) |
| Exports: | $51.9 billion (2016 est.) |
| Exports - partners: | Germany 14.2%, Sweden 10.1%, US 7%, Netherlands 6.8%, China 5.7%, Russia 5.7%, UK 4.5% (2017) |
| Exports - commodities: | electrical and optical equipment, machinery, transport equipment, paper and pulp, chemicals, basic metals; timber |
| Imports: | $65.26 billion (2017 est.) |
| Imports: | $58.18 billion (2016 est.) |
| Imports - commodities: | foodstuffs, petroleum and petroleum products, chemicals, transport equipment, iron and steel, machinery, computers, electronic industry products, textile yarn and fabrics, grains |
| Imports - partners: | Germany 17.7%, Sweden 15.8%, Russia 13.1%, Netherlands 8.7% (2017) |
| Reserves of foreign exchange and gold: | $10.51 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $11.2 billion (31 December 2016 est.) |
| Debt - external: | $150.6 billion (31 December 2016 est.) |
| Debt - external: | $147.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $135.2 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $84.8 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $185.6 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $116.7 billion (2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
