| Economy | FINLAND |
| Reserves of foreign exchange and gold: | $10.02 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $10.67 billion (31 December 2014 est.) |
| Debt - external: | $547.5 billion (31 December 2014 est.) |
| Debt - external: | $571.8 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $135.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $131.7 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $141.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $155.1 billion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
