| Economy | United States |
| Economy - overview: | In December 2017, Congress passed and President Donald TRUMP signed the Tax Cuts and Jobs Act, which, among its various provisions, reduces the corporate tax rate from 35% to 21%; lowers the individual tax rate for those with the highest incomes from 39.6% to 37%, and by lesser percentages for those at lower income levels; changes many deductions and credits used to calculate taxable income; and eliminates in 2019 the penalty imposed on taxpayers who do not obtain the minimum amount of health insurance required under the ACA. The new taxes took effect on 1 January 2018; the tax cut for corporations are permanent, but those for individuals are scheduled to expire after 2025. The Joint Committee on Taxation (JCT) under the Congressional Budget Office estimates that the new law will reduce tax revenues and increase the federal deficit by about $1.45 trillion over the 2018-2027 period. This amount would decline if economic growth were to exceed the JCTâ€™s estimate. |
| GDP (purchasing power parity): | $19.49 trillion (2017 est.) |
| GDP (purchasing power parity): | $19.06 trillion (2016 est.) |
| GDP (purchasing power parity): | $18.77 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $19.49 trillion (2017 est.) |
| GDP - real growth rate: | 2.2% (2017 est.) |
| GDP - real growth rate: | 1.6% (2016 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
| GDP - per capita (PPP): | $59,800 (2017 est.) |
| GDP - per capita (PPP): | $58,900 (2016 est.) |
| GDP - per capita (PPP): | $58,400 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 18.9% of GDP (2017 est.) |
| Gross national saving: | 18.6% of GDP (2016 est.) |
| Gross national saving: | 20.1% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 68.4% (2017 est.) |
| GDP - composition, by end use: | government consumption: 17.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 12.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -15% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.9% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 19.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 80% (2017 est.) |
| Agriculture - products: | wheat, corn, other grains, fruits, vegetables, cotton; beef, pork, poultry, dairy products; fish; forest products |
| Industries: | highly diversified, world leading, high-technology innovator, second-largest industrial output in the world; petroleum, steel, motor vehicles, aerospace, telecommunications, chemicals, electronics, food processing, consumer goods, lumber, mining |
| Industrial production growth rate: | 2.3% (2017 est.) |
| Labor force: | 160.4 million (2017 est.) |
| Labor force: | note: includes unemployed |
| Labor force - by occupation: | agriculture: 0.7% (2009) |
| Labor force - by occupation: | industry: 20.3% (2009) |
| Labor force - by occupation: | services: 37.3% (2009) |
| Labor force - by occupation: | industry and services: 24.2% (2009) |
| Labor force - by occupation: | manufacturing: 17.6% (2009) |
| Labor force - by occupation: | farming, forestry, and fishing: 0.7% (2009) |
| Labor force - by occupation: | manufacturing, extraction, transportation, and crafts: 20.3% (2009) |
| Labor force - by occupation: | managerial, professional, and technical: 37.3% (2009) |
| Labor force - by occupation: | sales and office: 24.2% (2009) |
| Labor force - by occupation: | other services: 17.6% (2009) |
| Labor force - by occupation: | note: figures exclude the unemployed |
| Unemployment rate: | 4.4% (2017 est.) |
| Unemployment rate: | 4.9% (2016 est.) |
| Population below poverty line: | 15.1% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 30% (2007 est.) |
| Distribution of family income - Gini index: | 45 (2007) |
| Distribution of family income - Gini index: | 40.8 (1997) |
| Budget: | revenues: 3.315 trillion (2017 est.) |
| Budget: | expenditures: 3.981 trillion (2017 est.) |
| Budget: | note: revenues exclude social contributions of approximately $1.0 trillion; expenditures exclude social benefits of approximately $2.3 trillion |
| Taxes and other revenues: | 17% (of GDP) (2017 est.) |
| Taxes and other revenues: | note: excludes contributions for social security and other programs; if social contributions were added, taxes and other revenues would amount to approximately 22% of GDP |
| Budget surplus (+) or deficit (-): | -3.4% (of GDP) (2017 est.) |
| Public debt: | 78.8% of GDP (2017 est.) |
| Public debt: | 81.2% of GDP (2016 est.) |
| Public debt: | note: data cover only what the United States Treasury denotes as "Debt Held by the Public," which includes all debt instruments issued by the Treasury that are owned by non-US Government entities; the data include Treasury debt held by foreign entities; the data exclude debt issued by individual US states, as well as intragovernmental debt; intragovernmental debt consists of Treasury borrowings from surpluses in the trusts for Federal Social Security, Federal Employees, Hospital and Supplemental Medical Insurance (Medicare), Disability and Unemployment, and several other smaller trusts; if data for intragovernment debt were added, "gross debt" would increase by about one-third of GDP |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 2.1% (2017 est.) |
| Inflation rate (consumer prices): | 1.3% (2016 est.) |
| Central bank discount rate: | 0.5% (31 December 2010) |
| Central bank discount rate: | 0.5% (31 December 2009) |
| Commercial bank prime lending rate: | 4.1% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 3.51% (31 December 2016 est.) |
| Stock of narrow money: | $3.512 trillion (31 December 2017 est.) |
| Stock of narrow money: | $3.251 trillion (31 December 2016 est.) |
| Stock of broad money: | $3.512 trillion (31 December 2017 est.) |
| Stock of broad money: | $3.251 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $21.59 trillion (31 December 2017 est.) |
| Stock of domestic credit: | $20.24 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $25.07 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $26.33 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $24.03 trillion (31 December 2013 est.) |
| Current account balance: | -$449.1 billion (2017 est.) |
| Current account balance: | -$432.9 billion (2016 est.) |
| Exports: | $1.553 trillion (2017 est.) |
| Exports: | $1.456 trillion (2016 est.) |
| Exports - partners: | Canada 18.3%, Mexico 15.7%, China 8.4%, Japan 4.4% (2017) |
| Exports - commodities: | agricultural products (soybeans, fruit, corn) 9.2%, industrial supplies (organic chemicals) 26.8%, capital goods (transistors, aircraft, motor vehicle parts, computers, telecommunications equipment) 49.0%, consumer goods (automobiles, medicines) 15.0% (2008 est.) |
| Imports: | $2.361 trillion (2017 est.) |
| Imports: | $2.208 trillion (2016 est.) |
| Imports - commodities: | agricultural products 4.9%, industrial supplies 32.9% (crude oil 8.2%), capital goods 30.4% (computers, telecommunications equipment, motor vehicle parts, office machines, electric power machinery), consumer goods 31.8% (automobiles, clothing, medicines, furniture, toys) (2008 est.) |
| Imports - partners: | China 21.6%, Mexico 13.4%, Canada 12.8%, Japan 5.8%, Germany 5% (2017) |
| Reserves of foreign exchange and gold: | $123.3 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $117.6 billion (31 December 2015 est.) |
| Debt - external: | $17.91 trillion (31 March 2016 est.) |
| Debt - external: | $17.85 trillion (31 March 2015 est.) |
| Debt - external: | note: approximately 4/5ths of US external debt is denominated in US dollars; foreign lenders have been willing to hold US dollar denominated debt instruments because they view the dollar as the world's reserve currency |
| Stock of direct foreign investment - at home: | $4.08 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $3.614 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $5.711 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $5.352 trillion (31 December 2016 est.) |
| Exchange rates: | British pounds per US dollar: 0.7836 (2017 est.), 0.738 (2016 est.), 0.738 (2015 est.), 0.607 (2014 est), 0.6391 (2013 est.) |
| Exchange rates: | Canadian dollars per US dollar: 1, 1.308 (2017 est.), 1.3256 (2016 est.), 1.3256 (2015 est.), 1.2788 (2014 est.), 1.0298 (2013 est.) |
| Exchange rates: | Chinese yuan per US dollar: 1, 6.7588 (2017 est.), 6.6445 (2016 est.), 6.2275 (2015 est.), 6.1434 (2014 est.), 6.1958 (2013 est.) |
| Exchange rates: | euros per US dollar: 0.885 (2017 est.), 0.903 (2016 est.), 0.9214(2015 est.), 0.885 (2014 est.), 0.7634 (2013 est.) |
| Exchange rates: | Japanese yen per US dollar: 111.10 (2017 est.), 108.76 (2016 est.), 108.76 (2015 est.), 121.02 (2014 est.), 97.44 (2013 est.) |
