| Economy | BHUTAN |
| Industrial production growth rate: | 5.3% (2016 est.) |
| Labor force: | 353,000 |
| Labor force: | note: major shortage of skilled labor (2015 est.) |
| Labor force - by occupation: | agriculture: 58% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 22% (2015 est.) |
| Unemployment rate: | 3.2% (2016 est.) |
| Unemployment rate: | 2.6% (2014 est.) |
| Population below poverty line: | 13.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 30.6% (2012) |
| Distribution of family income - Gini index: | 38.8 (2012) |
| Distribution of family income - Gini index: | 38.1 (2007) |
| Budget: | revenues: $650.9 million |
| Budget: | expenditures: $713.7 million |
| Budget: | note: the government of India finances nearly one-quarter of Bhutan's budget expenditures (2016 est.) |
| Taxes and other revenues: | 30.8% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3% of GDP (2016 est.) |
| Public debt: | 106.8% of GDP (2016 est.) |
| Public debt: | 91.5% of GDP (2015 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 3.9% (2016 est.) |
| Inflation rate (consumer prices): | 4.5% (2015 est.) |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 14.15% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 14.15% (31 December 2015 est.) |
| Stock of narrow money: | $769 million (31 December 2016 est.) |
| Stock of narrow money: | $669.9 million (31 December 2015 est.) |
| Stock of broad money: | $1.379 billion (31 December 2016 est.) |
| Stock of broad money: | $1.174 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.17 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.031 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $355.3 million (31 December 2015) |
| Market value of publicly traded shares: | $283.4 million (31 December 2012) |
| Current account balance: | $-618 million (2016 est.) |
| Current account balance: | $-571.7 million (2015 est.) |
| Exports: | $495.3 million (2016 est.) |
| Exports: | $581.5 million (2015 est.) |
| Exports - commodities: | electricity (to India), ferrosilicon, cement, cardamom, calcium carbide, steel rods/bars, dolomite, gypsum |
| Exports - partners: | India 95.7% (2016) |
| Imports: | $1.033 billion (2016 est.) |
| Imports: | $1.009 billion (2015 est.) |
| Imports - commodities: | fuel and lubricants, airplanes, machinery and parts, rice, motor vehicles |
| Imports - partners: | India 91.1% (2016) |
| Debt - external: | $2.355 billion (31 December 2016 est.) |
| Debt - external: | $1.955 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $168.4 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $238 million (31 December 2015 est.) |
| Exchange rates: | ngultrum (BTN) per US dollar - |
| Exchange rates: | 67.195 (2016 est.) |
| Exchange rates: | 67.2 (2015 est.) |
| Exchange rates: | 64.15 (2014 est.) |
| Exchange rates: | 61.03 (2013 est.) |
| Exchange rates: | 53.44 (2012 est.) |
