| Economy | Bhutan |
| GDP - composition, by sector of origin: | industry: 41.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 42% (2017 est.) |
| Agriculture - products: | rice, corn, root crops, citrus; dairy products, eggs |
| Industries: | cement, wood products, processed fruits, alcoholic beverages, calcium carbide, tourism |
| Industrial production growth rate: | 6.3% (2017 est.) |
| Labor force: | 397,900 (2017 est.) |
| Labor force: | note: major shortage of skilled labor |
| Labor force - by occupation: | agriculture: 58% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 22% (2015 est.) |
| Unemployment rate: | 3.2% (2017 est.) |
| Unemployment rate: | 3.2% (2016 est.) |
| Population below poverty line: | 12% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 30.6% (2012) |
| Household income or consumption by percentage share: | highest 10%: 30.6% (2012) |
| Distribution of family income - Gini index: | 38.8 (2012) |
| Distribution of family income - Gini index: | 38.1 (2007) |
| Budget: | revenues: 655.3 million (2017 est.) |
| Budget: | expenditures: 737.4 million (2017 est.) |
| Budget: | note: the Government of India finances nearly one-quarter of Bhutan's budget expenditures |
| Taxes and other revenues: | 27.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.4% (of GDP) (2017 est.) |
| Public debt: | 106.3% of GDP (2017 est.) |
| Public debt: | 114.2% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 5.8% (2017 est.) |
| Inflation rate (consumer prices): | 7.6% (2016 est.) |
| Central bank discount rate: | 6% (2017 est.) |
| Central bank discount rate: | note: this is the policy rate of Bhutan's central bank |
| Commercial bank prime lending rate: | 15% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 14.15% (31 December 2016 est.) |
| Stock of narrow money: | $993.5 million (31 December 2017 est.) |
| Stock of narrow money: | $769 million (31 December 2016 est.) |
| Stock of broad money: | $993.5 million (31 December 2017 est.) |
| Stock of broad money: | $769 million (31 December 2016 est.) |
| Stock of domestic credit: | $1.535 billion (31 December 2017 est.) |
| Stock of domestic credit: | $1.17 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $401.4 million (31 December 2017 est.) |
| Market value of publicly traded shares: | $340.5 million (31 December 2016 est.) |
| Market value of publicly traded shares: | $359.3 million (31 December 2015 est.) |
| Current account balance: | -$547 million (2017 est.) |
| Current account balance: | -$621 million (2016 est.) |
| Exports: | $554.6 million (2017 est.) |
| Exports: | $495.3 million (2016 est.) |
| Exports - partners: | India 95.3% (2017) |
| Exports - commodities: | electricity (to India), ferrosilicon, cement, cardamom, calcium carbide, steel rods/bars, dolomite, gypsum |
| Imports: | $1.025 billion (2017 est.) |
| Imports: | $1.03 billion (2016 est.) |
| Imports - commodities: | fuel and lubricants, airplanes, machinery and parts, rice, motor vehicles |
| Imports - partners: | India 89.5% (2017) |
| Reserves of foreign exchange and gold: | $1.206 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $1.127 billion (31 December 2016 est.) |
| Debt - external: | $2.671 billion (31 December 2017 est.) |
| Debt - external: | $2.355 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $160.4 million (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $168.4 million (31 December 2016 est.) |
| Exchange rates: | ngultrum (BTN) per US dollar - |
| Exchange rates: | 64.97 (2017 est.) |
| Exchange rates: | 67.2 (2016 est.) |
| Exchange rates: | 67.2 (2015 est.) |
| Exchange rates: | 64.15 (2014 est.) |
| Exchange rates: | 61.03 (2013 est.) |
