| Economy | SLOVENIA |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.7% (2015 est.) |
| Inflation rate (consumer prices): | 0.4% (2014 est.) |
| Central bank discount rate: | 0.3% (10 September 2014) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.49% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 5.02% (31 December 2014 est.) |
| Stock of narrow money: | $14.39 billion (31 December 2015 est.) |
| Stock of narrow money: | $12.85 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $26.11 billion (31 December 2014 est.) |
| Stock of broad money: | $25.92 billion (31 December 2013 est.) |
| Stock of domestic credit: | $29.94 billion (31 December 2015 est.) |
| Stock of domestic credit: | $31.11 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $6.87 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $6.31 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $6.783 billion (31 December 2013 est.) |
| Current account balance: | $3.118 billion (2015 est.) |
| Current account balance: | $3.464 billion (2014 est.) |
| Exports: | $26.67 billion (2015 est.) |
| Exports: | $30.51 billion (2014 est.) |
| Exports - commodities: | manufactured goods, machinery and transport equipment, chemicals, food |
| Exports - partners: | Germany 19.1%, Italy 10.6%, Austria 8%, Croatia 6.8%, Slovakia 4.7%, Hungary 4.4%, France 4.2% (2015) |
| Imports: | $25.01 billion (2015 est.) |
| Imports: | $28.94 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food |
| Imports - partners: | Germany 16.5%, Italy 13.6%, Austria 10.2%, China 5.5%, Croatia 5.1%, Turkey 4% (2015) |
| Reserves of foreign exchange and gold: | $856.2 million (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $1.016 billion (31 December 2014 est.) |
| Debt - external: | $56.11 billion (31 December 2014 est.) |
| Debt - external: | $55.45 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $14.49 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $14.37 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $7.843 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $8.463 billion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
