| Economy | Slovenia |
| GDP - composition, by end use: | household consumption: 52.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 18.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 82.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -72.6% (2017 est.) |
| Ease of Doing Business Index scores: | 100.0 (2020) |
| Agriculture - products: | hops, wheat, coffee, corn, apples, pears; cattle, sheep, poultry |
| Industries: | ferrous metallurgy and aluminum products, lead and zinc smelting; electronics (including military electronics), trucks, automobiles, electric power equipment, wood products, textiles, chemicals, machine tools |
| Industrial production growth rate: | 8.6% (2017 est.) |
| Labor force: | 885,000 (2020 est.) |
| Labor force - by occupation: | agriculture: 5.5% |
| Labor force - by occupation: | industry: 31.2% |
| Labor force - by occupation: | services: 63.3% (2017 est.) |
| Unemployment rate: | 7.64% (2019 est.) |
| Unemployment rate: | 8.25% (2018 est.) |
| Population below poverty line: | 13.9% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 20.1% (2016) |
| Budget: | revenues: 21.07 billion (2017 est.) |
| Budget: | expenditures: 21.06 billion (2017 est.) |
| Taxes and other revenues: | 43.1% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0% (of GDP) (2017 est.) |
| Public debt: | 73.6% of GDP (2017 est.) |
| Public debt: | 78.6% of GDP (2016 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the central, state, local government, and social security funds |
| Fiscal year: | calendar year |
| Current account balance: | $3.05 billion (2019 est.) |
| Current account balance: | $3.17 billion (2018 est.) |
| Exports: | $49.872 billion (2019 est.) |
| Exports: | $48.001 billion (2018 est.) |
| Exports: | $45.096 billion (2017 est.) |
| Exports - partners: | Germany 18.9%, Italy 10.7%, Austria 7.4%, Croatia 7.1%, France 4.8%, Poland 4.2%, Hungary 4.2% (2017) |
| Exports - commodities: | manufactured goods, machinery and transport equipment, chemicals, food |
| Imports: | $45.489 billion (2019 est.) |
| Imports: | $43.637 billion (2018 est.) |
| Imports: | $40.625 billion (2017 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food |
| Imports - partners: | Germany 16.5%, Italy 13.5%, Austria 9.3%, Turkey 5.8%, Croatia 4.8%, China 4.5% (2017) |
| Reserves of foreign exchange and gold: | $889.9 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $853 million (31 December 2016 est.) |
| Debt - external: | $46.3 billion (31 January 2017 est.) |
| Debt - external: | $48.2 billion (31 January 2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
