| Economy | Slovenia |
| Budget: | expenditures: 21.06 billion (2017 est.) |
| Taxes and other revenues: | 43.1% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0% (of GDP) (2017 est.) |
| Public debt: | 73.6% of GDP (2017 est.) |
| Public debt: | 78.6% of GDP (2016 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the central, state, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.4% (2017 est.) |
| Inflation rate (consumer prices): | -0.1% (2016 est.) |
| Central bank discount rate: | 0% (31 December 2017) |
| Central bank discount rate: | 0% (16 March 2016) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 2.59% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 2.81% (31 December 2016 est.) |
| Stock of narrow money: | $21.53 billion (31 December 2017 est.) |
| Stock of narrow money: | $16.54 billion (31 December 2016 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $21.53 billion (31 December 2017 est.) |
| Stock of broad money: | $16.54 billion (31 December 2016 est.) |
| Stock of domestic credit: | $35.34 billion (31 December 2017 est.) |
| Stock of domestic credit: | $30.23 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $6.328 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $5.6 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $5.94 billion (31 December 2015 est.) |
| Current account balance: | $3.475 billion (2017 est.) |
| Current account balance: | $2.461 billion (2016 est.) |
| Exports: | $32.14 billion (2017 est.) |
| Exports: | $27.65 billion (2016 est.) |
| Exports - partners: | Germany 18.9%, Italy 10.7%, Austria 7.4%, Croatia 7.1%, France 4.8%, Poland 4.2%, Hungary 4.2% (2017) |
| Exports - commodities: | manufactured goods, machinery and transport equipment, chemicals, food |
| Imports: | $30.38 billion (2017 est.) |
| Imports: | $25.95 billion (2016 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food |
| Imports - partners: | Germany 16.5%, Italy 13.5%, Austria 9.3%, Turkey 5.8%, Croatia 4.8%, China 4.5% (2017) |
| Reserves of foreign exchange and gold: | $889.9 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $853 million (31 December 2016 est.) |
| Debt - external: | $46.3 billion (31 January 2017 est.) |
| Debt - external: | $48.2 billion (31 January 2016 est.) |
| Stock of direct foreign investment - at home: | $19.23 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $14.83 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $9.914 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $7.837 billion (31 December 2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
