| Economy | Slovenia |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Inflation rate (consumer prices): | 2.5% (2012 est.) |
| Inflation rate (consumer prices): | 1.8% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2011) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 5.2% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.82% (31 December 2011 est.) |
| Stock of narrow money: | $16.03 billion (31 December 2011 est.) |
| Stock of narrow money: | $16.12 billion (31 December 2010 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $26.52 billion (31 December 2012 est.) |
| Stock of broad money: | $25.62 billion (31 December 2011 est.) |
| Stock of domestic credit: | $49.6 billion (31 December 2012 est.) |
| Stock of domestic credit: | $48.54 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $6.326 billion (31 December 2011) |
| Market value of publicly traded shares: | $9.428 billion (31 December 2010) |
| Market value of publicly traded shares: | $11.77 billion (31 December 2009) |
| Agriculture - products: | potatoes, hops, wheat, sugar beets, corn, grapes; cattle, sheep, poultry |
| Industrial production growth rate: | 3.2% (2011 est.) |
| Current account balance: | $297.6 million (2012 est.) |
| Current account balance: | $2.505 million (2011 est.) |
| Exports: | $28.42 billion (2012 est.) |
| Exports: | $29.59 billion (2011 est.) |
| Exports - commodities: | manufactured goods, machinery and transport equipment, chemicals, food |
| Exports - partners: | Germany 19.9%, Italy 11.9%, Austria 7.7%, Croatia 6.4%, France 5.7%, Hungary 4% (2011) |
| Imports: | $29.83 billion (2012 est.) |
| Imports: | $31.05 billion (2011 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food |
| Imports - partners: | Germany 16.4%, Italy 16%, Austria 10.2%, Croatia 4.5%, France 4.1%, China 4.1% (2011) |
| Reserves of foreign exchange and gold: | $1.154 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $991.3 million (31 December 2011 est.) |
| Debt - external: | $61.23 billion (30 June 2011) |
| Debt - external: | $51.57 billion (30 June 2010) |
| Stock of direct foreign investment - at home: | $17.91 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $16.71 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $9.755 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $9.405 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7838 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
| Fiscal year: | calendar year |
