| Economy | Slovenia |
| Public debt: | 41.9% of GDP (2011 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.6% (2012 est.) |
| Inflation rate (consumer prices): | 1.8% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2011) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 5.73% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.82% (31 December 2011 est.) |
| Stock of narrow money: | $16.03 billion (31 December 2011 est.) |
| Stock of narrow money: | $16.12 billion (31 December 2010 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $26.52 billion (31 December 2012 est.) |
| Stock of broad money: | $25.62 billion (31 December 2011 est.) |
| Stock of domestic credit: | $46.2 billion (31 December 2012 est.) |
| Stock of domestic credit: | $48.54 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $6.326 billion (31 December 2011) |
| Market value of publicly traded shares: | $9.428 billion (31 December 2010) |
| Market value of publicly traded shares: | $11.77 billion (31 December 2009) |
| Current account balance: | $1.491 billion (2012 est.) |
| Current account balance: | $203.2 million (2011 est.) |
| Exports: | $27.81 billion (2012 est.) |
| Exports: | $29.85 billion (2011 est.) |
| Exports - commodities: | manufactured goods, machinery and transport equipment, chemicals, food |
| Exports - partners: | Germany 20%, Italy 12%, Austria 7.9%, Croatia 6.2%, France 4.8%, Russia 4.6% (2012) |
| Imports: | $27.95 billion (2012 est.) |
| Imports: | $31.18 billion (2011 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food |
| Imports - partners: | Italy 16.5%, Germany 16.3%, Austria 10.4%, Croatia 4.8%, Hungary 4% (2012) |
| Reserves of foreign exchange and gold: | $951.9 million (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $991.3 million (31 December 2011 est.) |
| Debt - external: | $53.88 billion (31 December 2012) |
| Debt - external: | $52.07 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $16.96 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $16.78 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $8.878 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $9.439 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.72 (2011 est.) |
| Exchange rates: | 0.76 (2010 est.) |
| Exchange rates: | 0.72 (2009 est.) |
| Exchange rates: | 0.68 (2008 est.) |
