| Economy | KYRGYZSTAN |
| Imports - commodities: | oil and gas, machinery and equipment, chemicals, foodstuffs |
| Imports - partners: | China 54.4%, Russia 18.1%, Kazakhstan 7.8%, Turkey 4.4% (2014) |
| Reserves of foreign exchange and gold: | $2.184 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $2.238 billion (31 December 2013 est.) |
| Debt - external: | $6.819 billion (31 December 2014 est.) |
| Debt - external: | $6.376 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $3.337 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $3.017 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $748.4 million (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $748.4 million (31 December 2013 est.) |
| Exchange rates: | soms (KGS) per US dollar - |
| Exchange rates: | 52.66 (2014 est.) |
| Exchange rates: | 48.438 (2013 est.) |
| Exchange rates: | 47.01 (2012 est.) |
| Exchange rates: | 46.144 (2011 est.) |
| Exchange rates: | 45.964 (2010 est.) |
