| Economy | Kazakhstan |
| Inflation rate (consumer prices): | 6% (2018 est.) |
| Inflation rate (consumer prices): | 7.3% (2017 est.) |
| Credit ratings: | Fitch rating: BBB (2016) |
| Credit ratings: | Moody's rating: Baa3 (2016) |
| Credit ratings: | Standard & Poors rating: BBB- (2016) |
| GDP (purchasing power parity) - real: | $465.792 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $438.748 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $420.312 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $181.194 billion (2019 est.) |
| GDP - per capita (PPP): | $11,845 (2019 est.) |
| GDP - per capita (PPP): | $11,299 (2018 est.) |
| GDP - per capita (PPP): | $10,967 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 23.7% of GDP (2017 est.) |
| Gross national saving: | 21.4% of GDP (2016 est.) |
| Gross national saving: | 25.1% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 34.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 61.2% (2017 est.) |
| GDP - composition, by end use: | household consumption: 53.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 22.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 4.8% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 35.4% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -27.1% (2017 est.) |
| Ease of Doing Business Index scores: | 94.4 (2020) |
| Agriculture - products: | grain (mostly spring wheat and barley), potatoes, vegetables, melons; livestock |
| Industries: | oil, coal, iron ore, manganese, chromite, lead, zinc, copper, titanium, bauxite, gold, silver, phosphates, sulfur, uranium, iron and steel; tractors and other agricultural machinery, electric motors, construction materials |
| Industrial production growth rate: | 5.8% (2017 est.) |
| Labor force: | 8.685 million (2020 est.) |
| Labor force - by occupation: | agriculture: 18.1% |
| Labor force - by occupation: | industry: 20.4% |
| Labor force - by occupation: | services: 61.6% (2017 est.) |
| Unemployment rate: | 4.8% (2019 est.) |
| Unemployment rate: | 4.85% (2018 est.) |
| Population below poverty line: | 2.6% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.2% |
| Household income or consumption by percentage share: | highest 10%: 23.3% (2016) |
| Budget: | revenues: 35.48 billion (2017 est.) |
| Budget: | expenditures: 38.3 billion (2017 est.) |
| Taxes and other revenues: | 22.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.8% (of GDP) (2017 est.) |
| Public debt: | 20.8% of GDP (2017 est.) |
| Public debt: | 19.7% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$7.206 billion (2019 est.) |
| Current account balance: | -$138 million (2018 est.) |
| Exports: | $76.455 billion (2019 est.) |
| Exports: | $74.809 billion (2018 est.) |
| Exports: | $68.256 billion (2017 est.) |
| Exports - partners: | Italy 17.9%, China 11.9%, Netherlands 9.8%, Russia 9.3%, Switzerland 6.4%, France 5.9% (2017) |
| Exports - commodities: | oil and oil products, natural gas, ferrous metals, chemicals, machinery, grain, wool, meat, coal |
| Imports: | $69.117 billion (2019 est.) |
| Imports: | $61.933 billion (2018 est.) |
| Imports: | $58.099 billion (2017 est.) |
| Imports - commodities: | machinery and equipment, metal products, foodstuffs |
| Imports - partners: | Russia 38.9%, China 16.1%, Germany 5.1%, US 4.3% (2017) |
| Reserves of foreign exchange and gold: | $30.75 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $29.53 billion (31 December 2016 est.) |
| Debt - external: | $167.5 billion (31 December 2017 est.) |
| Debt - external: | $163.6 billion (31 December 2016 est.) |
| Exchange rates: | tenge (KZT) per US dollar - |
| Exchange rates: | 420.0049 (2020 est.) |
| Exchange rates: | 385.9248 (2019 est.) |
| Exchange rates: | 370.4648 (2018 est.) |
| Exchange rates: | 221.73 (2014 est.) |
| Exchange rates: | 179.19 (2013 est.) |
