| Economy | KAZAKHSTAN |
| Industrial production growth rate: | 0.1% (2015 est.) |
| Labor force: | 8.989 million (2015 est.) |
| Labor force - by occupation: | agriculture: 25.8% |
| Labor force - by occupation: | industry: 11.9% |
| Labor force - by occupation: | services: 62.3% (2012 est.) |
| Unemployment rate: | 5% (2015 est.) |
| Unemployment rate: | 5% (2014 est.) |
| Population below poverty line: | 5.3% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.9% |
| Household income or consumption by percentage share: | highest 10%: 23.7% (2011 est.) |
| Distribution of family income - Gini index: | 28.9 (2011) |
| Distribution of family income - Gini index: | 31.5 (2003) |
| Budget: | revenues: $34.43 billion |
| Budget: | expenditures: $37.1 billion (2015 est.) |
| Taxes and other revenues: | 19.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.5% of GDP (2015 est.) |
| Public debt: | 24.1% of GDP (2015 est.) |
| Public debt: | 14.8% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.7% (2015 est.) |
| Inflation rate (consumer prices): | 6.6% (2014 est.) |
| Central bank discount rate: | 16% (31 December 2015) |
| Central bank discount rate: | 5.5% (31 December 2014) |
| Commercial bank prime lending rate: | 9.56% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 7.24% (31 December 2014 est.) |
| Stock of narrow money: | $8.933 billion (31 December 2015 est.) |
| Stock of narrow money: | $16.35 billion (31 December 2014 est.) |
| Stock of broad money: | $52.89 billion (31 December 2014 est.) |
| Stock of broad money: | $56.49 billion (31 December 2013 est.) |
| Stock of domestic credit: | $50.83 billion (31 December 2015 est.) |
| Stock of domestic credit: | $78.46 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $23.5 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $43.3 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $60.74 billion (31 December 2013 est.) |
| Current account balance: | -$4.5 billion (2015 est.) |
| Current account balance: | $5.994 billion (2014 est.) |
| Exports: | $46.29 billion (2015 est.) |
| Exports: | $80.24 billion (2014 est.) |
| Exports - commodities: | oil and oil products, natural gas, ferrous metals, chemicals, machinery, grain, wool, meat, coal |
| Exports - partners: | China 15.1%, Russia 12.3%, France 9.2%, Germany 7.9%, Italy 6.7%, Greece 4.1% (2015) |
| Imports: | $33.65 billion (2015 est.) |
| Imports: | $43.55 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, metal products, foodstuffs |
| Imports - partners: | Russia 32.9%, China 25.9%, Germany 4.2% (2015) |
| Reserves of foreign exchange and gold: | $28.07 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $29.21 billion (31 December 2014 est.) |
| Debt - external: | $153.3 billion (31 December 2015 est.) |
| Debt - external: | $157.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $139.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $132.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $33.77 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $30.56 billion (31 December 2014 est.) |
| Exchange rates: | tenge (KZT) per US dollar - |
| Exchange rates: | 221.73 (2015 est.) |
| Exchange rates: | 179.19 (2014 est.) |
| Exchange rates: | 179.19 (2013 est.) |
| Exchange rates: | 149.11 (2012 est.) |
| Exchange rates: | 146.62 (2011 est.) |
