| Economy | KAZAKHSTAN |
| Current account balance: | $-5.142 billion (2015 est.) |
| Exports: | $37.3 billion (2016 est.) |
| Exports: | $46.52 billion (2015 est.) |
| Exports - commodities: | oil and oil products, natural gas, ferrous metals, chemicals, machinery, grain, wool, meat, coal |
| Exports - partners: | Italy 20.3%, China 11.5%, Russia 9.5%, Netherlands 8.9%, Switzerland 7.3%, France 4.9% (2016) |
| Imports: | $27.87 billion (2016 est.) |
| Imports: | $33.84 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, metal products, foodstuffs |
| Imports - partners: | Russia 36.2%, China 14.5%, Germany 5.7%, US 5.1% (2016) |
| Reserves of foreign exchange and gold: | $29.53 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $27.87 billion (31 December 2015 est.) |
| Debt - external: | $163.8 billion (31 December 2016 est.) |
| Debt - external: | $154.3 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $143.2 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $125.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $32.74 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $29.53 billion (31 December 2015 est.) |
| Exchange rates: | tenge (KZT) per US dollar - |
| Exchange rates: | 342.13 (2016 est.) |
| Exchange rates: | 342.13 (2015 est.) |
| Exchange rates: | 221.73 (2014 est.) |
| Exchange rates: | 179.19 (2013 est.) |
| Exchange rates: | 149.11 (2012 est.) |
