| Economy | Venezuela |
| Agriculture - products: | corn, sorghum, sugarcane, rice, bananas, vegetables, coffee; beef, pork, milk, eggs; fish |
| Industries: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, pharmaceuticals, chemicals, iron and steel products, crude oil and petroleum products |
| Industrial production growth rate: | 1% (2013 est.) |
| Labor force: | 14.01 million (2013 est.) |
| Labor force - by occupation: | agriculture: 7.3% |
| Labor force - by occupation: | industry: 21.8% |
| Labor force - by occupation: | services: 70.9% (4th quarter, 2011) |
| Unemployment rate: | 7.9% (2013 est.) |
| Unemployment rate: | 7.8% (2012 est.) |
| Population below poverty line: | 31.6% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 32.7% (2006) |
| Distribution of family income - Gini index: | 39 (2011) |
| Distribution of family income - Gini index: | 49.5 (1998) |
| Budget: | revenues: $103.4 billion |
| Budget: | expenditures: $139.4 billion (2013 est.) |
| Taxes and other revenues: | 28.1% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -9.8% of GDP (2013 est.) |
| Public debt: | 34.2% of GDP (2013 est.) |
| Public debt: | 26.8% of GDP (2012 est.) |
| Public debt: | note: data cover central government debt, as well as the debt of state-owned oil company PDVSA; the data include treasury debt held by foreign entities; the data include some debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; some debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 56.2% (2013 est.) |
| Inflation rate (consumer prices): | 21.1% (2012 est.) |
| Central bank discount rate: | 29.5% (31 December 2010) |
| Central bank discount rate: | 29.5% (31 December 2009) |
| Commercial bank prime lending rate: | 18% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 16.38% (31 December 2012 est.) |
| Stock of narrow money: | $181.4 billion (31 December 2013 est.) |
| Stock of narrow money: | $162.7 billion (31 December 2012 est.) |
| Stock of broad money: | $185.6 billion (31 December 2013 est.) |
| Stock of broad money: | $166.7 billion (31 December 2012 est.) |
| Stock of domestic credit: | $176.7 billion (31 December 2013 est.) |
| Stock of domestic credit: | $160.1 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $25.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.143 billion (31 December 2011) |
| Market value of publicly traded shares: | $3.991 billion (31 December 2011 est.) |
| Current account balance: | $3.195 billion (2013 est.) |
| Current account balance: | $11.02 billion (2012 est.) |
| Exports: | $91.78 billion (2013 est.) |
| Exports: | $97.34 billion (2012 est.) |
| Exports - commodities: | petroleum and petroleum products, bauxite and aluminum, minerals, chemicals, agricultural products |
| Exports - partners: | US 39.1%, China 14.3%, India 12%, Netherlands Antilles 7.8%, Cuba 4.6% (2012) |
| Imports: | $59.32 billion (2013 est.) |
| Imports: | $59.31 billion (2012 est.) |
| Imports - commodities: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, petroleum products, pharmaceuticals, chemicals, iron and steel products |
| Imports - partners: | US 31.7%, China 16.8%, Brazil 9.1%, Colombia 4.8% (2012) |
| Reserves of foreign exchange and gold: | $21.15 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $29.89 billion (31 December 2012 est.) |
| Debt - external: | $74.87 billion (31 December 2013 est.) |
| Debt - external: | $75.75 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $49.9 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $47.4 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $21.94 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $21.25 billion (31 December 2012 est.) |
| Exchange rates: | bolivars (VEB) per US dollar - |
| Exchange rates: | 6.048 (2013 est.) |
| Exchange rates: | 4.289 (2012 est.) |
| Exchange rates: | 2.5821 (2010 est.) |
| Exchange rates: | 2.147 (2009) |
| Exchange rates: | 2.147 (2008) |
