| Economy | VENEZUELA |
| Exports - partners: | US 26.6%, India 13.7%, China 11.7%, Cuba 6.4% (2015) |
| Imports: | $36.46 billion (2015 est.) |
| Imports: | $47.48 billion (2014 est.) |
| Imports - commodities: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, petroleum products, pharmaceuticals, chemicals, iron and steel products |
| Imports - partners: | US 18.4%, China 15.3%, Brazil 9.7%, Colombia 5.9%, Mexico 4.2% (2015) |
| Reserves of foreign exchange and gold: | $16.37 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $22.08 billion (31 December 2014 est.) |
| Debt - external: | $101.9 billion (31 December 2015 est.) |
| Debt - external: | $116.7 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $32.18 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $31.73 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $30.04 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $28.94 billion (31 December 2014 est.) |
| Exchange rates: | bolivars (VEB) per US dollar - |
| Exchange rates: | 13.72 (2015 est.) |
| Exchange rates: | 7.335 (2014 est.) |
| Exchange rates: | 6.284 (2013 est.) |
| Exchange rates: | 4.29 (2012 est.) |
| Exchange rates: | 4.289 (2011 est.) |
