| Economy | Algeria |
| GDP - composition, by end use: | investment in inventories: 11.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 23.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -35.8% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 39.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 47.4% (2017 est.) |
| Agriculture - products: | wheat, barley, oats, grapes, olives, citrus, fruits; sheep, cattle |
| Industries: | petroleum, natural gas, light industries, mining, electrical, petrochemical, food processing |
| Industrial production growth rate: | 0.6% (2017 est.) |
| Labor force: | 11.82 million (2017 est.) |
| Labor force - by occupation: | agriculture: 10.8% |
| Labor force - by occupation: | industry: 30.9% |
| Labor force - by occupation: | services: 58.4% (2011 est.) |
| Unemployment rate: | 11.7% (2017 est.) |
| Unemployment rate: | 10.5% (2016 est.) |
| Population below poverty line: | 23% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 26.8% (1995) |
| Distribution of family income - Gini index: | 35.3 (1995) |
| Budget: | revenues: 54.15 billion (2017 est.) |
| Budget: | expenditures: 70.2 billion (2017 est.) |
| Taxes and other revenues: | 32.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -9.6% (of GDP) (2017 est.) |
| Public debt: | 27.5% of GDP (2017 est.) |
| Public debt: | 20.4% of GDP (2016 est.) |
| Public debt: | note: data cover central government debt as well as debt issued by subnational entities and intra-governmental debt |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.6% (2017 est.) |
| Inflation rate (consumer prices): | 6.4% (2016 est.) |
| Central bank discount rate: | 4% (31 December 2010) |
| Central bank discount rate: | 4% (31 December 2009) |
| Commercial bank prime lending rate: | 8% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 8% (31 December 2016 est.) |
| Stock of narrow money: | $84.56 billion (31 December 2017 est.) |
| Stock of narrow money: | $85.21 billion (31 December 2016 est.) |
| Stock of broad money: | $84.56 billion (31 December 2017 est.) |
| Stock of broad money: | $85.21 billion (31 December 2016 est.) |
| Stock of domestic credit: | $110.2 billion (31 December 2017 est.) |
| Stock of domestic credit: | $86.63 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$22.1 billion (2017 est.) |
| Current account balance: | -$26.47 billion (2016 est.) |
| Exports: | $34.37 billion (2017 est.) |
| Exports: | $29.06 billion (2016 est.) |
| Exports - partners: | Italy 17.4%, Spain 13%, France 11.9%, US 9.4%, Brazil 6.2%, Netherlands 5.5% (2017) |
| Exports - commodities: | petroleum, natural gas, and petroleum products 97% (2009 est.) |
| Imports: | $48.54 billion (2017 est.) |
| Imports: | $49.43 billion (2016 est.) |
| Imports - commodities: | capital goods, foodstuffs, consumer goods |
| Imports - partners: | China 18.2%, France 9.1%, Italy 8%, Germany 7%, Spain 6.9%, Turkey 4.4% (2017) |
| Reserves of foreign exchange and gold: | $97.89 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $114.7 billion (31 December 2016 est.) |
| Debt - external: | $6.26 billion (31 December 2017 est.) |
| Debt - external: | $5.088 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $29.05 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $25.74 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.893 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $2.025 billion (31 December 2016 est.) |
| Exchange rates: | Algerian dinars (DZD) per US dollar - |
| Exchange rates: | 108.9 (2017 est.) |
| Exchange rates: | 109.443 (2016 est.) |
| Exchange rates: | 109.443 (2015 est.) |
| Exchange rates: | 100.691 (2014 est.) |
| Exchange rates: | 80.579 (2013 est.) |
