| Economy | Netherlands |
| Industrial production growth rate: | 0.5% (2013 est.) |
| Labor force: | 7.939 million (2013 est.) |
| Labor force - by occupation: | agriculture: 2.3% |
| Labor force - by occupation: | industry: 18.8% |
| Labor force - by occupation: | services: 78.9% (2011 est.) |
| Unemployment rate: | 8.3% (2013 est.) |
| Unemployment rate: | 6.4% (2012 est.) |
| Population below poverty line: | 9.1% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 24.5% (2012 est.) |
| Distribution of family income - Gini index: | 30.9 (2007) |
| Distribution of family income - Gini index: | 32.6 (1994) |
| Budget: | revenues: $315.5 billion |
| Budget: | expenditures: $339.3 billion (2014 est.) |
| Taxes and other revenues: | 43.7% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3.3% of GDP (2014 est.) |
| Public debt: | 74.3% of GDP (2013 est.) |
| Public debt: | 71.3% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.5% (2013 est.) |
| Inflation rate (consumer prices): | 2.5% (2012 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 2.3% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 2.65% (31 December 2012 est.) |
| Stock of narrow money: | $401.1 billion (31 December 2013 est.) |
| Stock of narrow money: | $389.9 billion (31 December 2012 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.169 trillion (31 December 2013 est.) |
| Stock of broad money: | $1.136 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $1.736 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $1.7 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $675 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $651 billion (31 December 2012) |
| Market value of publicly traded shares: | $594.7 billion (31 December 2011 est.) |
| Current account balance: | $65.87 billion (2013 est.) |
| Current account balance: | $51.54 billion (2012 est.) |
| Exports: | $576.9 billion (2013 est.) |
| Exports: | $550 billion (2012 est.) |
| Exports - commodities: | machinery and equipment, chemicals, fuels; foodstuffs |
| Exports - partners: | Germany 26.5%, Belgium 13.7%, France 8.8%, UK 8%, Italy 4.5% (2012) |
| Imports: | $511 billion (2013 est.) |
| Imports: | $498.5 billion (2012 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, fuels, foodstuffs, clothing |
| Imports - partners: | Germany 13.8%, China 12%, Belgium 8.4%, UK 6.7%, Russia 6.4%, US 6.1% (2012) |
| Reserves of foreign exchange and gold: | $71.95 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $54.82 billion (31 December 2012 est.) |
| Debt - external: | $2.347 trillion (31 December 2013 est.) |
| Debt - external: | $2.434 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $646.4 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $605.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.034 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $961.4 billion (31 December 2012 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
