| Economy | NETHERLANDS |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 2.3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 2.31% (31 December 2013 est.) |
| Stock of narrow money: | $387 billion (31 December 2014 est.) |
| Stock of narrow money: | $401.9 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.119 trillion (31 December 2014 est.) |
| Stock of broad money: | $1.158 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $1.612 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $1.682 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $671.7 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $698.6 billion (31 December 2013) |
| Market value of publicly traded shares: | $578.9 billion (31 December 2012 est.) |
| Current account balance: | $89.66 billion (2014 est.) |
| Current account balance: | $87.12 billion (2013 est.) |
| Exports: | $552.8 billion (2014 est.) |
| Exports: | $555.6 billion (2013 est.) |
| Exports - commodities: | machinery and equipment, chemicals, fuels; foodstuffs |
| Exports - partners: | Germany 25.3%, Belgium 12.9%, UK 8.9%, France 8.6%, Italy 4.3% (2014) |
| Imports: | $488.8 billion (2014 est.) |
| Imports: | $489 billion (2013 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, fuels, foodstuffs, clothing |
| Imports - partners: | Germany 14.5%, China 13%, Belgium 8.4%, US 6.5%, UK 6.1%, Russia 5.7%, Norway 4.1% (2014) |
| Reserves of foreign exchange and gold: | $71.95 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $46.25 billion (31 December 2013 est.) |
| Debt - external: | $2.347 trillion (31 December 2013 est.) |
| Debt - external: | $2.434 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $646.4 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $605.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.016 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $982 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
