| Economy | Netherlands |
| GDP - composition, by sector of origin: | agriculture: 1.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 17.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 70.2% (2017 est.) |
| Agriculture - products: | vegetables, ornamentals, dairy, poultry and livestock products; propagation materials |
| Industries: | agroindustries, metal and engineering products, electrical machinery and equipment, chemicals, petroleum, construction, microelectronics, fishing |
| Industrial production growth rate: | 3.3% (2017 est.) |
| Labor force: | 7.969 million (2017 est.) |
| Labor force - by occupation: | agriculture: 1.2% |
| Labor force - by occupation: | industry: 17.2% |
| Labor force - by occupation: | services: 81.6% (2015 est.) |
| Unemployment rate: | 4.9% (2017 est.) |
| Unemployment rate: | 6% (2016 est.) |
| Population below poverty line: | 8.8% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 24.9% (2014 est.) |
| Distribution of family income - Gini index: | 30.3 (2015 est.) |
| Distribution of family income - Gini index: | 25.1 (2013 est.) |
| Budget: | revenues: 361.4 billion (2017 est.) |
| Budget: | expenditures: 352.4 billion (2017 est.) |
| Taxes and other revenues: | 43.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.1% (of GDP) (2017 est.) |
| Public debt: | 56.5% of GDP (2017 est.) |
| Public debt: | 61.3% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Inflation rate (consumer prices): | 0.1% (2016 est.) |
| Central bank discount rate: | 0% (31 December 2016) |
| Central bank discount rate: | 0.05% (31 December 2015) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 1.33% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 1.47% (31 December 2016 est.) |
| Stock of narrow money: | $419 billion (31 December 2017 est.) |
| Stock of narrow money: | $364.9 billion (31 December 2016 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $419 billion (31 December 2017 est.) |
| Stock of broad money: | $364.9 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.687 trillion (31 December 2017 est.) |
| Stock of domestic credit: | $1.547 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $652.7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $735.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $675 billion (31 December 2013 est.) |
| Current account balance: | $87.46 billion (2017 est.) |
| Current account balance: | $62.92 billion (2016 est.) |
| Exports: | $555.6 billion (2017 est.) |
| Exports: | $495.4 billion (2016 est.) |
| Exports - partners: | Germany 24.2%, Belgium 10.7%, UK 8.8%, France 8.8%, Italy 4.2% (2017) |
| Exports - commodities: | machinery and transport equipment, chemicals, mineral fuels; food and livestock, manufactured goods |
| Imports: | $453.8 billion (2017 est.) |
| Imports: | $402.9 billion (2016 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, fuels, foodstuffs, clothing |
| Imports - partners: | China 16.4%, Germany 15.3%, Belgium 8.5%, US 6.9%, UK 5.1%, Russia 4.3% (2017) |
| Reserves of foreign exchange and gold: | $38.44 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $38.21 billion (31 December 2015 est.) |
| Debt - external: | $4.063 trillion (31 December 2016 est.) |
| Debt - external: | $4.054 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $5.499 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $4.759 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $6.579 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $5.623 trillion (31 December 2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
