| Economy | Netherlands |
| GDP - composition, by end use: | investment in fixed capital: 20.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 83% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -72.3% (2017 est.) |
| Ease of Doing Business Index scores: | 94.3 (2020) |
| Agriculture - products: | vegetables, ornamentals, dairy, poultry and livestock products; propagation materials |
| Industries: | agroindustries, metal and engineering products, electrical machinery and equipment, chemicals, petroleum, construction, microelectronics, fishing |
| Industrial production growth rate: | 3.3% (2017 est.) |
| Labor force: | 8.907 million (2020 est.) |
| Labor force - by occupation: | agriculture: 1.2% |
| Labor force - by occupation: | industry: 17.2% |
| Labor force - by occupation: | services: 81.6% (2015 est.) |
| Unemployment rate: | 3.41% (2019 est.) |
| Unemployment rate: | 3.84% (2018 est.) |
| Population below poverty line: | 8.8% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 24.9% (2014 est.) |
| Budget: | revenues: 361.4 billion (2017 est.) |
| Budget: | expenditures: 352.4 billion (2017 est.) |
| Taxes and other revenues: | 43.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.1% (of GDP) (2017 est.) |
| Public debt: | 56.5% of GDP (2017 est.) |
| Public debt: | 61.3% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | $90.207 billion (2019 est.) |
| Current account balance: | $98.981 billion (2018 est.) |
| Exports: | $857.574 billion (2019 est.) |
| Exports: | $835.759 billion (2018 est.) |
| Exports: | $801.942 billion (2017 est.) |
| Exports - partners: | Germany 24.2%, Belgium 10.7%, UK 8.8%, France 8.8%, Italy 4.2% (2017) |
| Exports - commodities: | machinery and transport equipment, chemicals, mineral fuels; food and livestock, manufactured goods |
| Imports: | $755.65 billion (2019 est.) |
| Imports: | $732.865 billion (2018 est.) |
| Imports: | $700.657 billion (2017 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, fuels, foodstuffs, clothing |
| Imports - partners: | China 16.4%, Germany 15.3%, Belgium 8.5%, US 6.9%, UK 5.1%, Russia 4.3% (2017) |
| Reserves of foreign exchange and gold: | $38.44 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $38.21 billion (31 December 2015 est.) |
| Debt - external: | $4.063 trillion (31 December 2016 est.) |
| Debt - external: | $4.054 trillion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
