| Economy | Israel |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 22.2% of GDP (2013 est.) |
| Gross national saving: | 21% of GDP (2012 est.) |
| Gross national saving: | 21.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 56.1% |
| GDP - composition, by end use: | government consumption: 22.7% |
| GDP - composition, by end use: | investment in fixed capital: 19.6% |
| GDP - composition, by end use: | investment in inventories: 0.7% |
| GDP - composition, by end use: | exports of goods and services: 34.4% |
| GDP - composition, by end use: | imports of goods and services: -33.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% |
| GDP - composition, by sector of origin: | industry: 31.2% |
| GDP - composition, by sector of origin: | services: 66.4% (2013 est.) |
| Agriculture - products: | citrus, vegetables, cotton; beef, poultry, dairy products |
| Industries: | high-technology products (including aviation, communications, computer-aided design and manufactures, medical electronics, fiber optics), wood and paper products, potash and phosphates, food, beverages, and tobacco, caustic soda, cement, construction, metal products, chemical products, plastics, cut diamonds, textiles, footwear |
| Industrial production growth rate: | 5.5% (2013 est.) |
| Labor force: | 3.493 million (2013 est.) |
| Labor force - by occupation: | agriculture: 1.6% |
| Labor force - by occupation: | industry: 18.1% |
| Labor force - by occupation: | services: 80.3% (2012 est.) |
| Unemployment rate: | 5.8% (2013 est.) |
| Unemployment rate: | 6.8% (2012 est.) |
| Population below poverty line: | 21% |
| Population below poverty line: | note: Israel's poverty line is $7.30 per person per day (2012) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 24.3% (2008) |
| Distribution of family income - Gini index: | 37.6 (2012) |
| Distribution of family income - Gini index: | 39.2 (2008) |
| Budget: | revenues: $109.7 billion |
| Budget: | expenditures: $113.9 billion (2013 est.) |
| Taxes and other revenues: | 40.2% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -1.5% of GDP (2013 est.) |
| Public debt: | 67.1% of GDP (2013 est.) |
| Public debt: | 66.9% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2013 est.) |
| Inflation rate (consumer prices): | 1.7% (2012 est.) |
| Central bank discount rate: | 1% (31 December 2013 est.) |
| Central bank discount rate: | 1.75% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 3.8% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.16% (31 December 2012 est.) |
| Stock of narrow money: | $37.09 billion (31 December 2013 est.) |
| Stock of narrow money: | $32.48 billion (31 December 2012 est.) |
| Stock of broad money: | $151.2 billion (31 December 2013 est.) |
| Stock of broad money: | $136.2 billion (31 December 2012 est.) |
| Stock of domestic credit: | $207.7 billion (31 December 2013 est.) |
| Stock of domestic credit: | $192.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $148.4 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $145 billion (31 December 2011) |
| Market value of publicly traded shares: | $218.1 billion (31 December 2010 est.) |
| Current account balance: | $5.259 billion (2013 est.) |
| Current account balance: | $609 million (2012 est.) |
| Exports: | $60.67 billion (2013 est.) |
| Exports: | $62.32 billion (2012 est.) |
| Exports - commodities: | machinery and equipment, software, cut diamonds, agricultural products, chemicals, textiles and apparel |
| Exports - partners: | US 27.8%, Hong Kong 7.7%, UK 5.7%, Belgium 4.6%, China 4.3% (2012) |
| Imports: | $67.03 billion (2013 est.) |
| Imports: | $71.67 billion (2012 est.) |
| Imports - commodities: | raw materials, military equipment, investment goods, rough diamonds, fuels, grain, consumer goods |
| Imports - partners: | US 12.9%, China 7.3%, Germany 6.3%, Switzerland 5.5%, Belgium 4.8% (2012) |
| Reserves of foreign exchange and gold: | $80.74 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $75.91 billion (31 December 2012 est.) |
| Debt - external: | $96.3 billion (31 December 2013 est.) |
| Debt - external: | $93.98 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $86.04 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $75.94 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $80.85 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $74.75 billion (31 December 2012 est.) |
| Exchange rates: | new Israeli shekels (ILS) per US dollar - |
| Exchange rates: | 3.621 (2013 est.) |
| Exchange rates: | 3.8559 (2012 est.) |
| Exchange rates: | 3.739 (2010 est.) |
| Exchange rates: | 3.93 (2009) |
| Exchange rates: | 3.588 (2008) |
