| Economy | ISRAEL |
| Stock of broad money: | $155.6 billion (31 December 2013 est.) |
| Stock of domestic credit: | $204 billion (31 December 2014 est.) |
| Stock of domestic credit: | $193.2 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $148.4 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $145 billion (31 December 2011) |
| Market value of publicly traded shares: | $218.1 billion (31 December 2010 est.) |
| Current account balance: | $11.49 billion (2014 est.) |
| Current account balance: | $6.893 billion (2013 est.) |
| Exports: | $63.21 billion (2014 est.) |
| Exports: | $61.96 billion (2013 est.) |
| Exports - commodities: | machinery and equipment, software, cut diamonds, agricultural products, chemicals, textiles and apparel |
| Exports - partners: | US 26.9%, Hong Kong 8.9%, UK 5.8%, Belgium 4.8%, China 4%, Turkey 4% (2014) |
| Imports: | $69.73 billion (2014 est.) |
| Imports: | $71.29 billion (2013 est.) |
| Imports - commodities: | raw materials, military equipment, investment goods, rough diamonds, fuels, grain, consumer goods |
| Imports - partners: | US 11.8%, China 8.3%, Switzerland 7.2%, Germany 6.4%, Belgium 5.3% (2014) |
| Reserves of foreign exchange and gold: | $88.01 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $81.79 billion (31 December 2013 est.) |
| Debt - external: | $99.75 billion (31 December 2014 est.) |
| Debt - external: | $95.53 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $97.05 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $86.95 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $83.62 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $78.92 billion (31 December 2013 est.) |
| Exchange rates: | new Israeli shekels (ILS) per US dollar - |
| Exchange rates: | 3.908 (2014 est.) |
| Exchange rates: | 3.6108 (2013 est.) |
| Exchange rates: | 3.86 (2012 est.) |
| Exchange rates: | 3.5781 (2011 est.) |
| Exchange rates: | 3.739 (2010 est.) |
