| Economy | Israel |
| Industries: | high-technology products (including aviation, communications, computer-aided design and manufactures, medical electronics, fiber optics), wood and paper products, potash and phosphates, food, beverages, and tobacco, caustic soda, cement, construction, metals products, chemical products, plastics, diamond cutting, textiles, footwear |
| Industrial production growth rate: | 4% (2012 est.) |
| Labor force: | 3.606 million (2012 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 16% |
| Labor force - by occupation: | services: 82% (September 2008) |
| Unemployment rate: | 6.9% (2012 est.) |
| Unemployment rate: | 7% (2011 est.) |
| Population below poverty line: | 23.6% |
| Population below poverty line: | note: Israel's poverty line is $7.30 per person per day (2007) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 24.3% (2008) |
| Distribution of family income - Gini index: | 39.2 (2008) |
| Distribution of family income - Gini index: | 35.5 (2001) |
| Budget: | revenues: $63.54 billion |
| Budget: | expenditures: $73.65 billion (2012 est.) |
| Taxes and other revenues: | 25% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4% of GDP (2012 est.) |
| Public debt: | 66.9% of GDP (2012 est.) |
| Public debt: | 68.5% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2012 est.) |
| Inflation rate (consumer prices): | 3.5% (2011 est.) |
| Central bank discount rate: | 2.75% (31 December 2011 est.) |
| Central bank discount rate: | 2.02% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 5.16% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.53% (31 December 2011 est.) |
| Stock of narrow money: | $32.48 billion (31 December 2012 est.) |
| Stock of narrow money: | $30.21 billion (31 December 2011 est.) |
| Stock of broad money: | $208.8 billion (31 December 2009 est.) |
| Stock of broad money: | $195.7 billion (31 December 2008 est.) |
| Stock of domestic credit: | $192.3 billion (31 December 2012 est.) |
| Stock of domestic credit: | $178 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $145 billion (31 December 2011) |
| Market value of publicly traded shares: | $218.1 billion (31 December 2010) |
| Market value of publicly traded shares: | $182.1 billion (31 December 2009) |
| Current account balance: | $609 million (2012 est.) |
| Current account balance: | $3.065 billion (2011 est.) |
| Exports: | $62.32 billion (2012 est.) |
| Exports: | $64.29 billion (2011 est.) |
| Exports - commodities: | machinery and equipment, software, cut diamonds, agricultural products, chemicals, textiles and apparel |
| Exports - partners: | US 27.8%, Hong Kong 7.7%, UK 5.7%, Belgium 4.6%, China 4.3% (2012) |
| Imports: | $71.67 billion (2012 est.) |
| Imports: | $72.48 billion (2011 est.) |
| Imports - commodities: | raw materials, military equipment, investment goods, rough diamonds, fuels, grain, consumer goods |
| Imports - partners: | US 12.9%, China 7.3%, Germany 6.3%, Switzerland 5.5%, Belgium 4.8% (2012) |
| Reserves of foreign exchange and gold: | $75.91 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $74.87 billion (31 December 2011 est.) |
| Debt - external: | $93.98 billion (31 December 2012 est.) |
| Debt - external: | $104.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $75.94 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $66.59 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $74.75 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $70.74 billion (31 December 2011 est.) |
| Exchange rates: | new Israeli shekels (ILS) per US dollar - |
| Exchange rates: | 3.86 (2012 est.) |
| Exchange rates: | 3.58 (2011 est.) |
| Exchange rates: | 3.74 (2010 est.) |
| Exchange rates: | 3.93 (2009) |
| Exchange rates: | 3.59 (2008) |
