| Economy | Libya |
| Commercial bank prime lending rate: | 6% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 6% (31 December 2012 est.) |
| Stock of narrow money: | $47.25 billion (31 December 2013 est.) |
| Stock of narrow money: | $45.2 billion (31 December 2012 est.) |
| Stock of broad money: | $51.86 billion (31 December 2013 est.) |
| Stock of broad money: | $49.28 billion (31 December 2012 est.) |
| Stock of domestic credit: | $-54.04 billion (31 December 2013 est.) |
| Stock of domestic credit: | $-47.25 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $2.727 billion (2013 est.) |
| Current account balance: | $27.17 billion (2012 est.) |
| Exports: | $38.45 billion (2013 est.) |
| Exports: | $52.02 billion (2012 est.) |
| Exports - commodities: | crude oil, refined petroleum products, natural gas, chemicals |
| Exports - partners: | Italy 23.3%, Germany 12.4%, China 11.2%, France 9.7%, Spain 7.6%, UK 4.7%, US 4.5% (2012) |
| Imports: | $27.15 billion (2013 est.) |
| Imports: | $18.1 billion (2012 est.) |
| Imports - commodities: | machinery, semi-finished goods, food, transport equipment, consumer products |
| Imports - partners: | China 13%, Turkey 11.6%, Italy 8.2%, Egypt 7.7%, Tunisia 6.6%, South Korea 5.8%, Greece 5.4%, Germany 4.6% (2012) |
| Reserves of foreign exchange and gold: | $120.9 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $118.6 billion (31 December 2012 est.) |
| Debt - external: | $6.319 billion (31 December 2013 est.) |
| Debt - external: | $5.278 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $17.92 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $16.84 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $17.82 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $17.21 billion (31 December 2012 est.) |
| Exchange rates: | Libyan dinars (LYD) per US dollar - |
| Exchange rates: | 1.277 (2013 est.) |
| Exchange rates: | 1.2617 (2012 est.) |
| Exchange rates: | 1.2668 (2010 est.) |
| Exchange rates: | 1.2535 (2009) |
| Exchange rates: | 1.2112 (2008) |
