| Economy | Bolivia |
| Stock of domestic credit: | $22.39 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $12.8 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $12.3 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $11.11 billion (31 December 2015 est.) |
| Current account balance: | -$2.375 billion (2017 est.) |
| Current account balance: | -$1.932 billion (2016 est.) |
| Exports: | $7.746 billion (2017 est.) |
| Exports: | $7.214 billion (2016 est.) |
| Exports - partners: | Brazil 17.9%, Argentina 16%, US 7.8%, Japan 7.3%, India 6.6%, South Korea 6.3%, Colombia 5.8%, China 5.1%, UAE 4.7% (2017) |
| Exports - commodities: | natural gas, silver, zinc, lead, tin, gold, quinoa, soybeans and soy products |
| Imports: | $8.601 billion (2017 est.) |
| Imports: | $7.888 billion (2016 est.) |
| Imports - commodities: | machinery, petroleum products, vehicles, iron and steel, plastics |
| Imports - partners: | China 21.7%, Brazil 16.8%, Argentina 12.6%, US 8.4%, Peru 6.5% (2017) |
| Reserves of foreign exchange and gold: | $10.26 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $10.08 billion (31 December 2016 est.) |
| Debt - external: | $12.81 billion (31 December 2017 est.) |
| Debt - external: | $7.268 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $12.31 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $11.6 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $0 (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $0 (31 December 2016 est.) |
| Exchange rates: | bolivianos (BOB) per US dollar - |
| Exchange rates: | 6.86 (2017 est.) |
| Exchange rates: | 6.86 (2016 est.) |
| Exchange rates: | 6.91 (2015 est.) |
| Exchange rates: | 6.91 (2014 est.) |
| Exchange rates: | 6.91 (2013 est.) |
