| Economy | Sudan |
| Household income or consumption by percentage share: | highest 10%: 26.7% (2009 est.) |
| Budget: | revenues: 8.48 billion (2017 est.) |
| Budget: | expenditures: 13.36 billion (2017 est.) |
| Taxes and other revenues: | 18.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -10.6% (of GDP) (2017 est.) |
| Public debt: | 121.6% of GDP (2017 est.) |
| Public debt: | 99.5% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 32.4% (2017 est.) |
| Inflation rate (consumer prices): | 17.8% (2016 est.) |
| Commercial bank prime lending rate: | 13% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 12.5% (31 December 2016 est.) |
| Stock of narrow money: | $18.82 billion (31 December 2017 est.) |
| Stock of narrow money: | $11.7 billion (31 December 2016 est.) |
| Stock of broad money: | $18.82 billion (31 December 2017 est.) |
| Stock of broad money: | $11.7 billion (31 December 2016 est.) |
| Stock of domestic credit: | $28.7 billion (31 December 2017 est.) |
| Stock of domestic credit: | $20.22 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$4.811 billion (2017 est.) |
| Current account balance: | -$4.213 billion (2016 est.) |
| Exports: | $4.1 billion (2017 est.) |
| Exports: | $3.094 billion (2016 est.) |
| Exports - partners: | UAE 55.5%, Egypt 14.7%, Saudi Arabia 8.8% (2017) |
| Exports - commodities: | gold; oil and petroleum products; cotton, sesame, livestock, peanuts, gum Arabic, sugar |
| Imports: | $8.22 billion (2017 est.) |
| Imports: | $7.48 billion (2016 est.) |
| Imports - commodities: | foodstuffs, manufactured goods, refinery and transport equipment, medicines, chemicals, textiles, wheat |
| Imports - partners: | UAE 12.7%, Egypt 10.6%, India 10.5%, Turkey 10.2%, Japan 7.6%, Saudi Arabia 6%, Germany 4.6% (2017) |
| Reserves of foreign exchange and gold: | $198 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $168.3 million (31 December 2016 est.) |
| Debt - external: | $56.05 billion (31 December 2017 est.) |
| Debt - external: | $51.26 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $25.47 billion (31 December 2016 est.) |
| Exchange rates: | Sudanese pounds (SDG) per US dollar - |
| Exchange rates: | 6.72 (2017 est.) |
| Exchange rates: | 6.14 (2016 est.) |
| Exchange rates: | 6.14 (2015 est.) |
| Exchange rates: | 6.03 (2014 est.) |
| Exchange rates: | 5.74 (2013 est.) |
