| Economy | SUDAN |
| Industries: | oil, cotton ginning, textiles, cement, edible oils, sugar, soap distilling, shoes, petroleum refining, pharmaceuticals, armaments, automobile/light truck assembly, milling |
| Industrial production growth rate: | 6.1% (2015 est.) |
| Labor force: | 11.92 million (2007 est.) |
| Labor force - by occupation: | agriculture: 80% |
| Labor force - by occupation: | industry: 7% |
| Labor force - by occupation: | services: 13% (1998 est.) |
| Unemployment rate: | 13.6% (2014 est.) |
| Unemployment rate: | 14.8% (2013 est.) |
| Population below poverty line: | 46.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 26.7% (2009 est.) |
| Budget: | revenues: $6.663 billion |
| Budget: | expenditures: $9.943 billion (2015 est.) |
| Taxes and other revenues: | 8% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.9% of GDP (2015 est.) |
| Public debt: | 68.9% of GDP (2015 est.) |
| Public debt: | 72.9% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 17.3% (2015 est.) |
| Inflation rate (consumer prices): | 36.9% (2014 est.) |
| Stock of narrow money: | $9.511 billion (31 December 2015 est.) |
| Stock of narrow money: | $8.034 billion (31 December 2014 est.) |
| Stock of broad money: | $13.47 billion (31 December 2015 est.) |
| Stock of broad money: | $13 billion (31 December 2014 est.) |
| Stock of domestic credit: | $17.34 billion (31 December 2015 est.) |
| Stock of domestic credit: | $14.85 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$6.457 billion (2015 est.) |
| Current account balance: | -$4.999 billion (2014 est.) |
| Exports: | $3.169 billion (2015 est.) |
| Exports: | $4.454 billion (2014 est.) |
| Exports - commodities: | gold; oil and petroleum products; cotton, sesame, livestock, peanuts, gum Arabic, sugar |
| Exports - partners: | UAE 32%, China 16.2%, Saudi Arabia 15.5%, Australia 4.7%, India 4.2% (2015) |
| Imports: | $8.368 billion (2015 est.) |
| Imports: | $8.106 billion (2014 est.) |
| Imports - commodities: | foodstuffs, manufactured goods, refinery and transport equipment, medicines, chemicals, textiles, wheat |
| Imports - partners: | China 26.4%, UAE 10.1%, India 9.1%, Egypt 5.6%, Turkey 4.7%, Saudi Arabia 4.4% (2015) |
| Reserves of foreign exchange and gold: | $173.5 million (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $181.5 million (31 December 2014 est.) |
| Debt - external: | $49.42 billion (31 December 2015 est.) |
| Debt - external: | $47.85 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $24.41 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $22.68 billion (31 December 2014 est.) |
| Exchange rates: | Sudanese pounds (SDG) per US dollar - |
| Exchange rates: | 6.03 (2015 est.) |
| Exchange rates: | 5.74 (2014 est.) |
| Exchange rates: | 5.74 (2013 est.) |
| Exchange rates: | 3.57 (2012 est.) |
| Exchange rates: | 2.68 (2011 est.) |
