| Economy | SUDAN |
| Industries: | oil, cotton ginning, textiles, cement, edible oils, sugar, soap distilling, shoes, petroleum refining, pharmaceuticals, armaments, automobile/light truck assembly, milling |
| Industrial production growth rate: | 5.5% (2016 est.) |
| Labor force: | 11.92 million (2007 est.) |
| Labor force - by occupation: | agriculture: 80% |
| Labor force - by occupation: | industry: 7% |
| Labor force - by occupation: | services: 13% (1998 est.) |
| Unemployment rate: | 20.6% (2016 est.) |
| Unemployment rate: | 14.8% (2013 est.) |
| Population below poverty line: | 46.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 26.7% (2009 est.) |
| Budget: | revenues: $7.134 billion |
| Budget: | expenditures: $11.62 billion (2016 est.) |
| Taxes and other revenues: | 7.6% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4.7% of GDP (2016 est.) |
| Public debt: | 65.4% of GDP (2016 est.) |
| Public debt: | 59.5% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 17.8% (2016 est.) |
| Inflation rate (consumer prices): | 16.9% (2015 est.) |
| Stock of narrow money: | $12.51 billion (31 December 2016 est.) |
| Stock of narrow money: | $9.514 billion (31 December 2015 est.) |
| Stock of broad money: | $19.53 billion (31 December 2016 est.) |
| Stock of broad money: | $15.43 billion (31 December 2015 est.) |
| Stock of domestic credit: | $21.61 billion (31 December 2016 est.) |
| Stock of domestic credit: | $17.35 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-5.126 billion (2016 est.) |
| Current account balance: | $-5.461 billion (2015 est.) |
| Exports: | $3.094 billion (2016 est.) |
| Exports: | $3.169 billion (2015 est.) |
| Exports - commodities: | gold; oil and petroleum products; cotton, sesame, livestock, peanuts, gum Arabic, sugar |
| Exports - partners: | UAE 42.9%, Saudi Arabia 19.5%, Egypt 15.9% (2016) |
| Imports: | $7.325 billion (2016 est.) |
| Imports: | $8.368 billion (2015 est.) |
| Imports - commodities: | foodstuffs, manufactured goods, refinery and transport equipment, medicines, chemicals, textiles, wheat |
| Imports - partners: | UAE 15.4%, India 11.2%, Egypt 10.4%, Saudi Arabia 9.2%, Turkey 8.9%, Japan 5% (2016) |
| Reserves of foreign exchange and gold: | $168.3 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $173.5 million (31 December 2015 est.) |
| Debt - external: | $51.26 billion (31 December 2016 est.) |
| Debt - external: | $49.42 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $25.47 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $24.4 billion (31 December 2015 est.) |
| Exchange rates: | Sudanese pounds (SDG) per US dollar - |
| Exchange rates: | 6.14 (2016 est.) |
| Exchange rates: | 6.14 (2015 est.) |
| Exchange rates: | 6.03 (2014 est.) |
| Exchange rates: | 5.74 (2013 est.) |
| Exchange rates: | 3.57 (2012 est.) |
