| Economy | Poland |
| Imports: | $353.423 billion (2018 est.) |
| Imports: | $328.919 billion (2017 est.) |
| Imports - commodities: | machinery and transport equipment 38%, intermediate manufactured goods 21%, chemicals 15%, minerals, fuels, lubricants, and related materials 9% (2011 est.) |
| Imports - partners: | Germany 27.9%, China 8%, Russia 6.4%, Netherlands 6%, Italy 5.3%, France 4.2%, Czech Republic 4% (2017) |
| Reserves of foreign exchange and gold: | $113.3 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $114.4 billion (31 December 2016 est.) |
| Debt - external: | $241 billion (31 December 2017 est.) |
| Debt - external: | $347.8 billion (31 December 2016 est.) |
| Exchange rates: | zlotych (PLN) per US dollar - |
| Exchange rates: | 3.6684 (2020 est.) |
| Exchange rates: | 3.8697 (2019 est.) |
| Exchange rates: | 3.76615 (2018 est.) |
| Exchange rates: | 3.7721 (2014 est.) |
| Exchange rates: | 3.1538 (2013 est.) |
