| Economy | POLAND |
| Budget: | expenditures: $87.95 billion (2015 est.) |
| Taxes and other revenues: | 16.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2015 est.) |
| Public debt: | 45% of GDP (2015 est.) |
| Public debt: | 43.9% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, the data include subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -1% (2015 est.) |
| Inflation rate (consumer prices): | 0.1% (2014 est.) |
| Central bank discount rate: | 2.5% (31 December 2014) |
| Central bank discount rate: | 1.5% (31 December 2013) |
| Commercial bank prime lending rate: | 4.92% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 6.25% (31 December 2014 est.) |
| Stock of narrow money: | $177.4 billion (31 December 2015 est.) |
| Stock of narrow money: | $172.9 billion (31 December 2014 est.) |
| Stock of broad money: | $306.7 billion (31 December 2014 est.) |
| Stock of broad money: | $318.8 billion (31 December 2013 est.) |
| Stock of domestic credit: | $337.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $348 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $177.7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $138.2 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $190.2 billion (31 December 2013 est.) |
| Current account balance: | -$2.215 billion (2015 est.) |
| Current account balance: | -$11.13 billion (2014 est.) |
| Exports: | $190.8 billion (2015 est.) |
| Exports: | $210.7 billion (2014 est.) |
| Exports - commodities: | machinery and transport equipment 37.8%, intermediate manufactured goods 23.7%, miscellaneous manufactured goods 17.1%, food and live animals 7.6% (2012 est.) |
| Exports - partners: | Germany 27.1%, UK 6.8%, Czech Republic 6.6%, France 5.5%, Italy 4.8%, Netherlands 4.4% (2015) |
| Imports: | $188.4 billion (2015 est.) |
| Imports: | $215 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment 38%, intermediate manufactured goods 21%, chemicals 15%, minerals, fuels, lubricants, and related materials 9% (2011 est.) |
| Imports - partners: | Germany 27.6%, China 7.5%, Russia 7.2%, Netherlands 5.9%, Italy 5.2%, France 4.1% (2015) |
| Reserves of foreign exchange and gold: | $94.91 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $100.4 billion (31 December 2014 est.) |
| Debt - external: | $332.2 billion (31 December 2015 est.) |
| Debt - external: | $338.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $221.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $249.5 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $62.12 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $65.85 billion (31 December 2014 est.) |
| Exchange rates: | zlotych (PLN) per US dollar - |
| Exchange rates: | 3.7721 (2015 est.) |
| Exchange rates: | 3.1538 (2014 est.) |
| Exchange rates: | 3.1538 (2013 est.) |
| Exchange rates: | 3.26 (2012 est.) |
| Exchange rates: | 2.9639 (2011 est.) |
