| Economy | Poland |
| Population below poverty line: | 10.6% (2008 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 27.1% (2009 est.) |
| Distribution of family income - Gini index: | 34.1 (2009) |
| Distribution of family income - Gini index: | 31.6 (1998) |
| Budget: | revenues: $88.31 billion |
| Budget: | expenditures: $97.65 billion (2012 est.) |
| Taxes and other revenues: | 18.3% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2012 est.) |
| Public debt: | 48.3% of GDP (2012 est.) |
| Public debt: | 49.1% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, the data include subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.7% (2012 est.) |
| Inflation rate (consumer prices): | 4.2% (2011 est.) |
| Central bank discount rate: | 4.25% (31 December 2012 est.) |
| Central bank discount rate: | 4% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 8.73% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 8.47% (31 December 2011 est.) |
| Stock of narrow money: | $156.4 billion (31 December 2012 est.) |
| Stock of narrow money: | $137 billion (31 December 2011 est.) |
| Stock of broad money: | $293.4 billion (31 December 2012 est.) |
| Stock of broad money: | $295.5 billion (31 December 2011 est.) |
| Stock of domestic credit: | $328.4 billion (31 December 2012 est.) |
| Stock of domestic credit: | $295.4 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $168.1 billion (31 December 2012) |
| Market value of publicly traded shares: | $138.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $190.2 billion (31 December 2010) |
| Current account balance: | $-18.14 billion (2012 est.) |
| Current account balance: | $-25.82 billion (2011 est.) |
| Exports: | $191 billion (2012 est.) |
| Exports: | $195.2 billion (2011 est.) |
| Exports - commodities: | machinery and transport equipment 37.8%, intermediate manufactured goods 23.7%, miscellaneous manufactured goods 17.1%, food and live animals 7.6% |
| Exports - partners: | Germany 26%, UK 7%, Czech Republic 6.5%, France 6%, Russia 5.2%, Italy 5%, Netherlands 4.6% (2012) |
| Imports: | $197.7 billion (2012 est.) |
| Imports: | $209.3 billion (2011 est.) |
| Imports - commodities: | machinery and transport equipment 38%, intermediate manufactured goods 21%, chemicals 15%, minerals, fuels, lubricants, and related materials 9% (2011 est.) |
| Imports - partners: | Germany 27.3%, Russia 12.2%, Netherlands 5.9%, China 5.4%, Italy 5.2%, Czech Republic 4.3%, France 4.2% (2012) |
| Reserves of foreign exchange and gold: | $108.9 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $97.86 billion (31 December 2011 est.) |
| Debt - external: | $364.2 billion (31 December 2012 est.) |
| Debt - external: | $320.6 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $246.5 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $210.2 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $70.28 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $61.7 billion (31 December 2011 est.) |
| Exchange rates: | zlotych (PLN) per US dollar - |
| Exchange rates: | 3.26 (2012 est.) |
| Exchange rates: | 2.96 (2011 est.) |
| Exchange rates: | 3.02 (2010 est.) |
| Exchange rates: | 3.12 (2009) |
| Exchange rates: | 2.3 (2008) |
