| Economy | Liberia |
| Labor force - by occupation: | agriculture: 70% |
| Labor force - by occupation: | industry: 8% |
| Labor force - by occupation: | services: 22% (2000 est.) |
| Unemployment rate: | 2.8% (2014 est.) |
| Population below poverty line: | 54.1% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 30.1% (2007) |
| Distribution of family income - Gini index: | 32 (2014) |
| Distribution of family income - Gini index: | 38.2 (2007) |
| Budget: | revenues: 553.6 million (2017 est.) |
| Budget: | expenditures: 693.8 million (2017 est.) |
| Taxes and other revenues: | 16.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -4.3% (of GDP) (2017 est.) |
| Public debt: | 34.4% of GDP (2017 est.) |
| Public debt: | 28.3% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 12.4% (2017 est.) |
| Inflation rate (consumer prices): | 8.8% (2016 est.) |
| Central bank discount rate: | 3.2% (2016) |
| Commercial bank prime lending rate: | 13.3% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 13.59% (31 December 2016 est.) |
| Stock of narrow money: | $423 million (31 December 2017 est.) |
| Stock of narrow money: | $438.3 million (31 December 2016 est.) |
| Stock of broad money: | $423 million (31 December 2017 est.) |
| Stock of broad money: | $438.3 million (31 December 2016 est.) |
| Stock of domestic credit: | $792.3 million (31 December 2017 est.) |
| Stock of domestic credit: | $789.4 million (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$627 million (2017 est.) |
| Current account balance: | -$464 million (2016 est.) |
| Exports: | $260.6 million (2017 est.) |
| Exports: | $169.8 million (2016 est.) |
| Exports - partners: | Germany 36.2%, Switzerland 14.2%, UAE 8.8%, US 6.8%, Indonesia 4.7% (2017) |
| Exports - commodities: | rubber, timber, iron, diamonds, cocoa, coffee |
| Imports: | $1.166 billion (2017 est.) |
| Imports: | $1.296 billion (2016 est.) |
| Imports - commodities: | fuels, chemicals, machinery, transportation equipment, manufactured goods; foodstuffs |
| Imports - partners: | Singapore 29.8%, China 24.4%, South Korea 17.5%, Japan 9.4% (2017) |
| Reserves of foreign exchange and gold: | $459.8 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $528.7 million (31 December 2016 est.) |
| Debt - external: | $1.036 billion (31 December 2017 est.) |
| Debt - external: | $938.9 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $17.01 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $16.56 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $201 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $201 million (31 December 2012 est.) |
| Exchange rates: | Liberian dollars (LRD) per US dollar - |
| Exchange rates: | 109.4 (2017 est.) |
| Exchange rates: | 93.4 (2016 est.) |
| Exchange rates: | 93.4 (2015 est.) |
| Exchange rates: | 85.3 (2014 est.) |
| Exchange rates: | 83.893 (2013 est.) |
