| Economy | LIBERIA |
| Labor force - by occupation: | services: 22% (2000 est.) |
| Unemployment rate: | 2.8% (2014 est.) |
| Population below poverty line: | 54.1% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 30.1% (2007) |
| Distribution of family income - Gini index: | 32 (2014) |
| Distribution of family income - Gini index: | 38.2 (2007) |
| Budget: | revenues: $638.1 million |
| Budget: | expenditures: $719.5 million (2016 est.) |
| Taxes and other revenues: | 30.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.9% of GDP (2016 est.) |
| Public debt: | 42.3% of GDP (2016 est.) |
| Public debt: | 39.5% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.8% (2016 est.) |
| Inflation rate (consumer prices): | 7.8% (2015 est.) |
| Central bank discount rate: | 3.2% (2016) |
| Commercial bank prime lending rate: | 13.59% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 13.61% (31 December 2015 est.) |
| Stock of narrow money: | $436.4 million (31 December 2016 est.) |
| Stock of narrow money: | $459 million (31 December 2015 est.) |
| Stock of broad money: | $639 million (31 December 2016 est.) |
| Stock of broad money: | $679.3 million (31 December 2015 est.) |
| Stock of domestic credit: | $789.4 million (31 December 2016 est.) |
| Stock of domestic credit: | $724.7 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-520 million (2016 est.) |
| Current account balance: | $-859.6 million (2015 est.) |
| Exports: | $169.8 million (2016 est.) |
| Exports: | $277 million (2015 est.) |
| Exports - commodities: | rubber, timber, iron, diamonds, cocoa, coffee |
| Exports - partners: | Poland 18.5%, Switzerland 9.7%, UAE 9.4%, Netherlands 8.9%, Germany 6.1%, US 5.9%, South Africa 5%, China 4.4%, Ghana 4.2% (2016) |
| Imports: | $1.21 billion (2016 est.) |
| Imports: | $1.552 billion (2015 est.) |
| Imports - commodities: | fuels, chemicals, machinery, transportation equipment, manufactured goods; foodstuffs |
| Imports - partners: | South Korea 38.3%, Singapore 18%, China 15.9%, Japan 10.9% (2016) |
| Debt - external: | $938.9 million (31 December 2016 est.) |
| Debt - external: | $836.3 million (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $17.01 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $16.56 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $201 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $201 million (31 December 2012 est.) |
| Exchange rates: | Liberian dollars (LRD) per US dollar - |
| Exchange rates: | 93.4 (2016 est.) |
| Exchange rates: | 93.4 (31 December 2015 est.) |
| Exchange rates: | 85.3 (2014 est.) |
| Exchange rates: | 83.893 (2013 est.) |
| Exchange rates: | 73.52 (2012 est.) |
