| Economy | Mali |
| Industries: | food processing; construction; phosphate and gold mining |
| Industrial production growth rate: | 6.3% (2017 est.) |
| Labor force: | 6.447 million (2017 est.) |
| Labor force - by occupation: | agriculture: 80% |
| Labor force - by occupation: | industry and services: 20% (2005 est.) |
| Unemployment rate: | 7.9% (2017 est.) |
| Unemployment rate: | 7.8% (2016 est.) |
| Population below poverty line: | 36.1% (2005 est.) |
| Household income or consumption by percentage share: | lowest 10%: 25.8% (2010 est.) |
| Household income or consumption by percentage share: | highest 10%: 25.8% (2010 est.) |
| Distribution of family income - Gini index: | 40.1 (2001) |
| Distribution of family income - Gini index: | 50.5 (1994) |
| Budget: | revenues: 3.075 billion (2017 est.) |
| Budget: | expenditures: 3.513 billion (2017 est.) |
| Taxes and other revenues: | 20% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.9% (of GDP) (2017 est.) |
| Public debt: | 35.4% of GDP (2017 est.) |
| Public debt: | 36% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2017 est.) |
| Inflation rate (consumer prices): | -1.8% (2016 est.) |
| Central bank discount rate: | 16% (31 December 2010) |
| Central bank discount rate: | 4.25% (31 December 2009) |
| Commercial bank prime lending rate: | 5.2% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.3% (31 December 2016 est.) |
| Stock of narrow money: | $3.04 billion (31 December 2017 est.) |
| Stock of narrow money: | $2.553 billion (31 December 2016 est.) |
| Stock of broad money: | $3.04 billion (31 December 2017 est.) |
| Stock of broad money: | $2.553 billion (31 December 2016 est.) |
| Stock of domestic credit: | $5.972 billion (31 December 2017 est.) |
| Stock of domestic credit: | $4.891 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$886 million (2017 est.) |
| Current account balance: | -$1.015 billion (2016 est.) |
| Exports: | $3.06 billion (2017 est.) |
| Exports: | $2.803 billion (2016 est.) |
| Exports - partners: | Switzerland 31.8%, UAE 15.4%, Burkina Faso 7.8%, Cote dIvoire 7.3%, South Africa 5%, Bangladesh 4.6% (2017) |
| Exports - commodities: | cotton, gold, livestock |
| Imports: | $3.644 billion (2017 est.) |
| Imports: | $3.403 billion (2016 est.) |
| Imports - commodities: | petroleum, machinery and equipment, construction materials, foodstuffs, textiles |
| Imports - partners: | Senegal 24.4%, China 13.2%, Cote dIvoire 9%, France 7.3% (2017) |
| Reserves of foreign exchange and gold: | $647.8 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $395.7 million (31 December 2016 est.) |
| Debt - external: | $4.192 billion (31 December 2017 est.) |
| Debt - external: | $3.981 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $3.845 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $3.266 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $286.2 million (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $62.2 million (31 December 2016 est.) |
| Exchange rates: | Communaute Financiere Africaine francs (XOF) per US dollar - |
| Exchange rates: | 605.3 (2017 est.) |
| Exchange rates: | 593.01 (2016 est.) |
| Exchange rates: | 593.01 (2015 est.) |
| Exchange rates: | 591.45 (2014 est.) |
| Exchange rates: | 494.42 (2013 est.) |
