| Economy | CHILE |
| Exports - partners: | China 26.3%, US 13.2%, Japan 8.5%, South Korea 6.5%, Brazil 4.9% (2015) |
| Imports: | $58.74 billion (2015 est.) |
| Imports: | $68.58 billion (2014 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, electrical and telecommunications equipment, industrial machinery, vehicles, natural gas |
| Imports - partners: | China 23.4%, US 18.8%, Brazil 7.8%, Argentina 4% (2015) |
| Reserves of foreign exchange and gold: | $38.64 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $40.45 billion (31 December 2014 est.) |
| Debt - external: | $156.1 billion (31 December 2015 est.) |
| Debt - external: | $149.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $176.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $180 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $72.81 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $81.69 billion (31 December 2014 est.) |
| Exchange rates: | Chilean pesos (CLP) per US dollar - |
| Exchange rates: | 658.93 (2015 est.) |
| Exchange rates: | 572.39 (2014 est.) |
| Exchange rates: | 570.37 (2013 est.) |
| Exchange rates: | 486.49 (2012 est.) |
| Exchange rates: | 483.67 (2011 est.) |
