| Economy | Chile |
| Labor force: | 8.367 million (2013 est.) |
| Labor force - by occupation: | agriculture: 13.2% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 63.9% (2005) |
| Unemployment rate: | 6% (2013 est.) |
| Unemployment rate: | 6.3% (2012 est.) |
| Population below poverty line: | 15.1% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 42.8% (2009 est.) |
| Distribution of family income - Gini index: | 52.1 (2009) |
| Distribution of family income - Gini index: | 57.1 (2000) |
| Budget: | revenues: $58.49 billion |
| Budget: | expenditures: $61.26 billion (2013 est.) |
| Taxes and other revenues: | 20.8% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -1% of GDP (2013 est.) |
| Public debt: | 13.9% of GDP (2013 est.) |
| Public debt: | 11.9% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2013 est.) |
| Inflation rate (consumer prices): | 3% (2012 est.) |
| Central bank discount rate: | 3.12% (31 December 2010 est.) |
| Central bank discount rate: | 0.5% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 9.5% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 10.06% (31 December 2012 est.) |
| Stock of narrow money: | $41.61 billion (31 December 2013 est.) |
| Stock of narrow money: | $40.95 billion (31 December 2012 est.) |
| Stock of broad money: | $159 billion (31 December 2013 est.) |
| Stock of broad money: | $150.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $214 billion (31 December 2013 est.) |
| Stock of domestic credit: | $202.5 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $313.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $270.3 billion (31 December 2011) |
| Market value of publicly traded shares: | $341.6 billion (31 December 2010 est.) |
| Current account balance: | -$10.97 billion (2013 est.) |
| Current account balance: | -$9.499 billion (2012 est.) |
| Exports: | $77.94 billion (2013 est.) |
| Exports: | $78.28 billion (2012 est.) |
| Exports - commodities: | copper, fruit, fish products, paper and pulp, chemicals, wine |
| Exports - partners: | China 23.3%, US 12.3%, Japan 10.7%, South Korea 5.8%, Brazil 5.5% (2012) |
| Imports: | $75.7 billion (2013 est.) |
| Imports: | $74.86 billion (2012 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, electrical and telecommunications equipment, industrial machinery, vehicles, natural gas |
| Imports - partners: | US 22.9%, China 18.2%, Argentina 6.6%, Brazil 6.5% (2012) |
| Reserves of foreign exchange and gold: | $39.89 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $41.65 billion (31 December 2012 est.) |
| Debt - external: | $119 billion (31 December 2013 est.) |
| Debt - external: | $112.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $214.8 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $NA (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $109.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $91.3 billion (31 December 2012 est.) |
| Exchange rates: | Chilean pesos (CLP) per US dollar - |
| Exchange rates: | 491.7 (2013 est.) |
| Exchange rates: | 486.49 (2012 est.) |
| Exchange rates: | 510.25 (2010 est.) |
| Exchange rates: | 560.86 (2009) |
| Exchange rates: | 509.02 (2008) |
