| Economy | CHILE |
| Reserves of foreign exchange and gold: | $41.99 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $41.09 billion (31 December 2013 est.) |
| Debt - external: | $140 billion (31 December 2014 est.) |
| Debt - external: | $130.9 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $204 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $185 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $87.97 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $76.83 billion (31 December 2013 est.) |
| Exchange rates: | Chilean pesos (CLP) per US dollar - |
| Exchange rates: | 568 (2014 est.) |
| Exchange rates: | 495.31 (2013 est.) |
| Exchange rates: | 486.49 (2012 est.) |
| Exchange rates: | 483.67 (2011 est.) |
| Exchange rates: | 510.25 (2010 est.) |
