| Economy | MAURITIUS |
| GDP - composition, by sector of origin: | agriculture: 4% |
| GDP - composition, by sector of origin: | industry: 22.3% |
| GDP - composition, by sector of origin: | services: 73.7% (2015 est.) |
| Agriculture - products: | sugarcane, tea, corn, potatoes, bananas, pulses; cattle, goats; fish |
| Industries: | food processing (largely sugar milling), textiles, clothing, mining, chemicals, metal products, transport equipment, nonelectrical machinery, tourism |
| Industrial production growth rate: | 2% (2015 est.) |
| Labor force: | 614,300 (2015 est.) |
| Labor force - by occupation: | agriculture and fishing: 9% |
| Labor force - by occupation: | construction and industry: 30% |
| Labor force - by occupation: | transportation and communication: 7% |
| Labor force - by occupation: | trade, restaurants, hotels: 22% |
| Labor force - by occupation: | finance: 6% |
| Labor force - by occupation: | other services: 25% (2007) |
| Unemployment rate: | 8% (2015 est.) |
| Unemployment rate: | 7.8% (2014 est.) |
| Population below poverty line: | 8% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 35.9 (2012 est.) |
| Distribution of family income - Gini index: | 39 (2006 est.) |
| Budget: | revenues: $2.341 billion |
| Budget: | expenditures: $2.764 billion (2015 est.) |
| Taxes and other revenues: | 20.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.6% of GDP (2015 est.) |
| Public debt: | 63.7% of GDP (2015 est.) |
| Public debt: | 61.5% of GDP (2014 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 1.3% (2015 est.) |
| Inflation rate (consumer prices): | 3.2% (2014 est.) |
| Central bank discount rate: | 9% (31 December 2010) |
| Commercial bank prime lending rate: | 8.5% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8.5% (31 December 2014 est.) |
| Stock of narrow money: | $2.547 billion (31 December 2015 est.) |
| Stock of narrow money: | $2.634 billion (31 December 2014 est.) |
| Stock of broad money: | $12.6 billion (31 December 2014 est.) |
| Stock of broad money: | $12.15 billion (31 December 2013 est.) |
| Stock of domestic credit: | $13.28 billion (31 December 2015 est.) |
| Stock of domestic credit: | $14.08 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $7.093 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $7.667 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $7.442 billion (31 December 2013 est.) |
| Current account balance: | -$590 million (2015 est.) |
| Current account balance: | -$713 million (2014 est.) |
| Exports: | $2.685 billion (2015 est.) |
| Exports: | $3.094 billion (2014 est.) |
| Exports - commodities: | clothing and textiles, sugar, cut flowers, molasses, fish, primates (for research) |
| Exports - partners: | UK 13.2%, UAE 12.4%, France 11.9%, US 10.7%, South Africa 8.6%, Madagascar 6.5%, Italy 5.4%, Spain 4.4% (2015) |
| Imports: | $4.526 billion (2015 est.) |
| Imports: | $5.354 billion (2014 est.) |
| Imports - commodities: | manufactured goods, capital equipment, foodstuffs, petroleum products, chemicals |
| Imports - partners: | India 18.7%, China 17.8%, France 7.1%, South Africa 6.5%, Vietnam 4.4% (2015) |
| Reserves of foreign exchange and gold: | $4.26 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $3.919 billion (31 December 2014 est.) |
| Debt - external: | $10.62 billion (31 December 2015 est.) |
| Debt - external: | $11.29 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Mauritian rupees (MUR) per US dollar - |
| Exchange rates: | 35.057 (2015 est.) |
| Exchange rates: | 30.622 (2014 est.) |
| Exchange rates: | 30.622 (2013 est.) |
| Exchange rates: | 30.05 (2012 est.) |
| Exchange rates: | 28.706 (2011 est.) |
