| Economy | Mauritius |
| GDP (official exchange rate): | $13.33 billion (2017 est.) |
| GDP - real growth rate: | 3.8% (2017 est.) |
| GDP - real growth rate: | 3.8% (2016 est.) |
| GDP - real growth rate: | 3.6% (2015 est.) |
| GDP - per capita (PPP): | $22,300 (2017 est.) |
| GDP - per capita (PPP): | $21,500 (2016 est.) |
| GDP - per capita (PPP): | $20,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 16.9% of GDP (2017 est.) |
| Gross national saving: | 15.8% of GDP (2016 est.) |
| Gross national saving: | 15.2% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 81% (2017 est.) |
| GDP - composition, by end use: | government consumption: 15.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 42.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -55.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 4% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 21.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 74.1% (2017 est.) |
| Agriculture - products: | sugarcane, tea, corn, potatoes, bananas, pulses; cattle, goats; fish |
| Industries: | food processing (largely sugar milling), textiles, clothing, mining, chemicals, metal products, transport equipment, nonelectrical machinery, tourism |
| Industrial production growth rate: | 3.2% (2017 est.) |
| Labor force: | 633,900 (2017 est.) |
| Labor force - by occupation: | agriculture: 8% |
| Labor force - by occupation: | industry: 29.8% |
| Labor force - by occupation: | services: 62.2% (2014 est.) |
| Unemployment rate: | 7.1% (2017 est.) |
| Unemployment rate: | 7.3% (2016 est.) |
| Population below poverty line: | 8% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Distribution of family income - Gini index: | 35.9 (2012 est.) |
| Distribution of family income - Gini index: | 39 (2006 est.) |
| Budget: | revenues: 2.994 billion (2017 est.) |
| Budget: | expenditures: 3.038 billion (2017 est.) |
| Taxes and other revenues: | 22.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.3% (of GDP) (2017 est.) |
| Public debt: | 64% of GDP (2017 est.) |
| Public debt: | 66.1% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 3.7% (2017 est.) |
| Inflation rate (consumer prices): | 1% (2016 est.) |
| Central bank discount rate: | 9% (31 December 2010) |
| Commercial bank prime lending rate: | 8.5% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 8.5% (31 December 2016 est.) |
| Stock of narrow money: | $3.335 billion (31 December 2017 est.) |
| Stock of narrow money: | $2.833 billion (31 December 2016 est.) |
| Stock of broad money: | $3.335 billion (31 December 2017 est.) |
| Stock of broad money: | $2.833 billion (31 December 2016 est.) |
| Stock of domestic credit: | $17.16 billion (31 December 2017 est.) |
| Stock of domestic credit: | $13.7 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $7.239 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $8.751 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $8.942 billion (31 December 2013 est.) |
| Current account balance: | -$875 million (2017 est.) |
| Current account balance: | -$531 million (2016 est.) |
| Exports: | $2.36 billion (2017 est.) |
| Exports: | $2.359 billion (2016 est.) |
| Exports - partners: | France 16.7%, US 12.5%, UK 12%, South Africa 9%, Madagascar 6.7%, Italy 6.6%, Spain 5.2% (2017) |
| Exports - commodities: | clothing and textiles, sugar, cut flowers, molasses, fish, primates (for research) |
| Imports: | $4.986 billion (2017 est.) |
| Imports: | $4.406 billion (2016 est.) |
| Imports - commodities: | manufactured goods, capital equipment, foodstuffs, petroleum products, chemicals |
| Imports - partners: | India 17.9%, China 15.7%, France 11.1%, South Africa 9.7% (2017) |
| Reserves of foreign exchange and gold: | $5.984 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $4.967 billion (31 December 2016 est.) |
| Debt - external: | $19.99 billion (31 December 2017 est.) |
| Debt - external: | $14.34 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | Mauritian rupees (MUR) per US dollar - |
| Exchange rates: | 35.17 (2017 est.) |
| Exchange rates: | 35.542 (2016 est.) |
| Exchange rates: | 35.542 (2015 est.) |
| Exchange rates: | 35.057 (2014 est.) |
| Exchange rates: | 30.622 (2013 est.) |
