| Economy | SLOVAKIA |
| Commercial bank prime lending rate: | 3.2% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 3.34% (31 December 2013 est.) |
| Stock of narrow money: | $45.57 billion (31 December 2014 est.) |
| Stock of narrow money: | $42.37 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $64.13 billion (31 December 2014 est.) |
| Stock of broad money: | $62.69 billion (31 December 2013 est.) |
| Stock of domestic credit: | $53.6 billion (31 December 2014 est.) |
| Stock of domestic credit: | $72.07 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $5.172 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $4.04 billion (31 December 2013) |
| Market value of publicly traded shares: | $4.611 billion (31 December 2012 est.) |
| Current account balance: | $58.62 million (2014 est.) |
| Current account balance: | $1.402 billion (2013 est.) |
| Exports: | $85.94 billion (2014 est.) |
| Exports: | $85.22 billion (2013 est.) |
| Exports - commodities: | vehicles and related parts 25%, machinery and electrical equipment 21%, nuclear reactors and furnaces 12%, iron and steel 5%, mineral oils and fuels 5% (2014 est.) |
| Exports - partners: | Germany 23.3%, Czech Republic 13.6%, Poland 8.8%, Hungary 6.6%, Austria 6.5%, UK 5.4%, France 5.2%, Italy 4.8% (2014) |
| Imports: | $79.78 billion (2014 est.) |
| Imports: | $79.78 billion (2013 est.) |
| Imports - commodities: | machinery and electrical equipment 19%, vehicles and related parts 13%, nuclear reactors and furnaces 12%, fuel and mineral oils 11% (2014 est.) |
| Imports - partners: | Germany 19%, Czech Republic 16.9%, Austria 9.3%, Russia 7.9%, Poland 6.2%, Hungary 6.2%, South Korea 4.2%, China 4% (2014) |
| Reserves of foreign exchange and gold: | $2.878 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $1.176 billion (31 December 2013 est.) |
| Debt - external: | $106.6 billion (31 December 2012 est.) |
| Debt - external: | $114 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $69.76 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $67.46 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $13.09 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $12.92 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
