| Economy | SLOVAKIA |
| Labor force: | 2.759 million (2016 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 22.7% |
| Labor force - by occupation: | services: 73.4% (2016) |
| Unemployment rate: | 9.6% (2016 est.) |
| Unemployment rate: | 11.5% (2015 est.) |
| Population below poverty line: | 12.3% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 19.3% (2015 est.) |
| Distribution of family income - Gini index: | 23.7 (2015) |
| Distribution of family income - Gini index: | 26.1 (2014) |
| Budget: | revenues: $35.79 billion |
| Budget: | expenditures: $37.3 billion (2016 est.) |
| Taxes and other revenues: | 40% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.7% of GDP (2016 est.) |
| Public debt: | 51.9% of GDP (2016 est.) |
| Public debt: | 52.5% of GDP (2015 est.) |
| Public debt: | note: data cover general Government Gross Debt, and includes debt instruments issued (or owned) by Government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.5% (2016 est.) |
| Inflation rate (consumer prices): | -0.3% (2015 est.) |
| Central bank discount rate: | 0% (31 December 2016 est.) |
| Central bank discount rate: | 0.05% (31 December 2015 est.) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks from the euro area; Slovakia became a member of the Economic and Monetary Union (EMU) on 1 January 2009 |
| Commercial bank prime lending rate: | 2.55% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 2.78% (31 December 2015 est.) |
| Stock of narrow money: | $45.63 billion (31 December 2016 est.) |
| Stock of narrow money: | $43 billion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $59.48 billion (31 December 2016 est.) |
| Stock of broad money: | $58.41 billion (31 December 2015 est.) |
| Stock of domestic credit: | $70.84 billion (31 December 2016 est.) |
| Stock of domestic credit: | $67.71 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $4.492 billion (30 November 2016 est.) |
| Market value of publicly traded shares: | $4.634 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $4.732 billion (31 December 2014 est.) |
| Current account balance: | $-653 million (2016 est.) |
| Current account balance: | $145.2 million (2015 est.) |
| Exports: | $75.53 billion (2016 est.) |
| Exports: | $73.33 billion (2015 est.) |
| Exports - commodities: | vehicles and related parts 27%, machinery and electrical equipment 20%, nuclear reactors and furnaces 12%, iron and steel 4%, mineral oils and fuels 5% (2015 est.) |
| Exports - partners: | Germany 21.9%, Czech Republic 11.9%, Poland 7.7%, France 6.1%, UK 5.9%, Austria 5.7%, Hungary 5.7%, Italy 4.8% (2016) |
| Imports: | $73.01 billion (2016 est.) |
| Imports: | $71.1 billion (2015 est.) |
| Imports - commodities: | machinery and electrical equipment 20%, vehicles and related parts 14%, nuclear reactors and furnaces 12%, fuel and mineral oils 9% (2015 est.) |
| Imports - partners: | Germany 20.2%, Czech Republic 16.9%, Austria 9.8%, Poland 6.5%, Hungary 6.1%, South Korea 4.7%, China 4.6%, France 4.4% (2016) |
| Reserves of foreign exchange and gold: | $2.892 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.892 billion (31 December 2015 est.) |
| Debt - external: | $75.04 billion (31 March 2016 est.) |
| Debt - external: | $74.19 billion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $54.03 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $51.83 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $15.06 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $10.52 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
