| Economy | Slovakia |
| Industries: | automobiles; metal and metal products; electricity, gas, coke, oil, nuclear fuel; chemicals, synthetic fibers, wood and paper products; machinery; earthenware and ceramics; textiles; electrical and optical apparatus; rubber products; food and beverages; pharmaceutical |
| Industrial production growth rate: | 2.7% (2017 est.) |
| Labor force: | 2.511 million (2020 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 22.7% |
| Labor force - by occupation: | services: 73.4% (2015) |
| Unemployment rate: | 5% (2019 est.) |
| Unemployment rate: | 5.42% (2018 est.) |
| Population below poverty line: | 12.3% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 19.3% (2015 est.) |
| Budget: | revenues: 37.79 billion (2017 est.) |
| Budget: | expenditures: 38.79 billion (2017 est.) |
| Taxes and other revenues: | 39.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1% (of GDP) (2017 est.) |
| Public debt: | 50.9% of GDP (2017 est.) |
| Public debt: | 51.8% of GDP (2016 est.) |
| Public debt: | note: data cover general Government Gross Debt and include debt instruments issued (or owned) by Government entities, including sub-sectors of central, state, local government, and social security funds |
| Fiscal year: | calendar year |
| Current account balance: | -$3.026 billion (2019 est.) |
| Current account balance: | -$2.635 billion (2018 est.) |
| Exports: | $113.964 billion (2019 est.) |
| Exports: | $113.092 billion (2018 est.) |
| Exports: | $107.518 billion (2017 est.) |
| Exports - partners: | Germany 20.7%, Czech Republic 11.6%, Poland 7.7%, France 6.3%, Italy 6.1%, UK 6%, Hungary 6%, Austria 6% (2017) |
| Exports - commodities: | vehicles and related parts 27%, machinery and electrical equipment 20%, nuclear reactors and furnaces 12%, iron and steel 4%, mineral oils and fuels 5% (2015 est.) |
| Imports: | $107.88 billion (2019 est.) |
| Imports: | $105.67 billion (2018 est.) |
| Imports: | $100.689 billion (2017 est.) |
| Imports - commodities: | machinery and electrical equipment 20%, vehicles and related parts 14%, nuclear reactors and furnaces 12%, fuel and mineral oils 9% (2015 est.) |
| Imports - partners: | Germany 19.1%, Czech Republic 16.3%, Austria 10.3%, Poland 6.5%, Hungary 6.4%, South Korea 4.5%, Russia 4.5%, France 4.3%, China 4.2% (2017) |
| Reserves of foreign exchange and gold: | $3.622 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.892 billion (31 December 2016 est.) |
| Debt - external: | $75.04 billion (31 March 2016 est.) |
| Debt - external: | $74.19 billion (31 March 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
