| Economy | Ethiopia |
| Reserves of foreign exchange and gold: | $3.013 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $3.022 billion (31 December 2016 est.) |
| Debt - external: | $26.05 billion (31 December 2017 est.) |
| Debt - external: | $24.82 billion (31 December 2016 est.) |
| Exchange rates: | birr (ETB) per US dollar - |
| Exchange rates: | 25 (2017 est.) |
| Exchange rates: | 21.732 (2016 est.) |
| Exchange rates: | 21.732 (2015 est.) |
| Exchange rates: | 21.55 (2014 est.) |
| Exchange rates: | 19.8 (2013 est.) |
