| Economy | KOREA, SOUTH |
| Agriculture - products: | rice, root crops, barley, vegetables, fruit, cattle, pigs, chickens, milk, eggs, fish |
| Industries: | electronics, telecommunications, automobile production, chemicals, shipbuilding, steel |
| Industrial production growth rate: | 3.3% (2016 est.) |
| Labor force: | 27.25 million (2016 est.) |
| Labor force - by occupation: | agriculture: 4.9% |
| Labor force - by occupation: | industry: 24.1% |
| Labor force - by occupation: | services: 71% (2016 est.) |
| Unemployment rate: | 3.7% (2016 est.) |
| Unemployment rate: | 3.6% (2015 est.) |
| Population below poverty line: | 12.5% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.8% |
| Household income or consumption by percentage share: | highest 10%: 48.5% (2015 est.) |
| Distribution of family income - Gini index: | 34.1 (2015 est.) |
| Distribution of family income - Gini index: | 34.1 (2014 est.) |
| Budget: | revenues: $319.8 billion |
| Budget: | expenditures: $305.3 billion (2016 est.) |
| Taxes and other revenues: | 22.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 1% of GDP (2016 est.) |
| Public debt: | 45.6% of GDP (2016 est.) |
| Public debt: | 45.7% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1% (2016 est.) |
| Inflation rate (consumer prices): | 0.7% (2015 est.) |
| Central bank discount rate: | 1.25% (31 December 2016 est.) |
| Central bank discount rate: | 1.5% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 3.37% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 3.53% (31 December 2015 est.) |
| Stock of narrow money: | $658.7 billion (31 December 2016 est.) |
| Stock of narrow money: | $604.2 billion (31 December 2015 est.) |
| Stock of broad money: | $1.993 trillion (31 December 2016 est.) |
| Stock of broad money: | $1.917 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $2.515 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $2.427 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.305 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $1.28 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.269 trillion (31 December 2014 est.) |
| Current account balance: | $98.68 billion (2016 est.) |
| Current account balance: | $105.9 billion (2015 est.) |
| Exports: | $511.8 billion (2016 est.) |
| Exports: | $542.9 billion (2015 est.) |
| Exports - commodities: | semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat displays, steel, electronics, plastics, computers |
| Exports - partners: | China 25.1%, US 13.5%, Vietnam 6.6%, Hong Kong 6.6%, Japan 4.9% (2016) |
| Imports: | $391.3 billion (2016 est.) |
| Imports: | $420.6 billion (2015 est.) |
| Imports - commodities: | crude oil/petroleum products, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemicals, textiles |
| Imports - partners: | China 21.4%, Japan 11.7%, US 10.7%, Germany 4.7% (2016) |
| Reserves of foreign exchange and gold: | $371.1 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $367.9 billion (31 December 2015 est.) |
| Debt - external: | $358.2 billion (31 December 2016 est.) |
| Debt - external: | $376.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $185 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $179.5 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $310.3 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $283 billion (31 December 2015 est.) |
| Exchange rates: | South Korean won (KRW) per US dollar - |
| Exchange rates: | 1,160.77 (2016 est.) |
| Exchange rates: | 1,160.77 (2015 est.) |
| Exchange rates: | 1,130.95 (2014 est.) |
| Exchange rates: | 1,052.96 (2013 est.) |
| Exchange rates: | 1,126.47 (2012 est.) |
