| Economy | France |
| GDP - composition, by end use: | investment in fixed capital: 18.7% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 27.3% |
| GDP - composition, by end use: | imports of goods and services: -28.8% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.9% |
| GDP - composition, by sector of origin: | industry: 18.7% |
| GDP - composition, by sector of origin: | services: 79.4% (2013 est.) |
| Agriculture - products: | wheat, cereals, sugar beets, potatoes, wine grapes; beef, dairy products; fish |
| Industries: | machinery, chemicals, automobiles, metallurgy, aircraft, electronics; textiles, food processing; tourism |
| Industrial production growth rate: | -0.4% (2013 est.) |
| Labor force: | 29.94 million (2013 est.) |
| Labor force - by occupation: | agriculture: 2.9% |
| Labor force - by occupation: | industry: 20.6% |
| Labor force - by occupation: | services: 76.4% (2012 est.) |
| Unemployment rate: | 10.2% (2013 est.) |
| Unemployment rate: | 10.2% (2012 est.) |
| Unemployment rate: | note: includes overseas territories |
| Population below poverty line: | 7.9% (2011) |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (2011) |
| Distribution of family income - Gini index: | 30.6 (2011) |
| Distribution of family income - Gini index: | 27.9 (1996) |
| Budget: | revenues: $1.41 trillion |
| Budget: | expenditures: $1.522 trillion (2013 est.) |
| Taxes and other revenues: | 51.5% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -4.1% of GDP (2013 est.) |
| Public debt: | 93.4% of GDP (2013 est.) |
| Public debt: | 90.2% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.9% (2013 est.) |
| Inflation rate (consumer prices): | 2% (2012 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.1% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 3.44% (31 December 2012 est.) |
| Stock of narrow money: | $810.1 billion (31 December 2013 est.) |
| Stock of narrow money: | $738.8 billion (31 December 2012 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $2.299 trillion (31 December 2013 est.) |
| Stock of broad money: | $2.273 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $3.687 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.631 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.762 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.538 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.983 trillion (31 December 2010 est.) |
| Current account balance: | -$58.97 billion (2013 est.) |
| Current account balance: | -$45.22 billion (2012 est.) |
| Exports: | $578.6 billion (2013 est.) |
| Exports: | $567.1 billion (2012 est.) |
| Exports - commodities: | machinery and transportation equipment, aircraft, plastics, chemicals, pharmaceutical products, iron and steel, beverages |
| Exports - partners: | Germany 16.7%, Belgium 7.5%, Italy 7.5%, Spain 6.9%, UK 6.9%, US 5.6%, Netherlands 4.3% (2012) |
| Imports: | $659.8 billion (2013 est.) |
| Imports: | $653.4 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, vehicles, crude oil, aircraft, plastics, chemicals |
| Imports - partners: | Germany 19.5%, Belgium 11.3%, Italy 7.6%, Netherlands 7.4%, Spain 6.6%, UK 5.1%, China 4.9% (2012) |
| Reserves of foreign exchange and gold: | $198.7 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $188.4 billion (31 December 2011 est.) |
| Debt - external: | $5.371 trillion (31 December 2012 est.) |
| Debt - external: | $5.004 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $1.103 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $1.095 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.489 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.497 trillion (31 December 2012 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
