| Economy | Croatia |
| Population below poverty line: | 21.1% (2011) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 27.5% (2008 est.) |
| Distribution of family income - Gini index: | 32 (2010) |
| Distribution of family income - Gini index: | 29 (1998) |
| Budget: | revenues: $17.87 billion |
| Budget: | expenditures: $20.43 billion (2013 est.) |
| Taxes and other revenues: | 36.9% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -4.4% of GDP (2013 est.) |
| Public debt: | 66.2% of GDP (2013 est.) |
| Public debt: | 55.6% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.2% (2013 est.) |
| Inflation rate (consumer prices): | 3.4% (2012 est.) |
| Central bank discount rate: | 7% (31 December 2013 est.) |
| Central bank discount rate: | 7% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 9% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 9.48% (31 December 2012 est.) |
| Stock of narrow money: | $10.38 billion (31 January 2014 est.) |
| Stock of narrow money: | $10.64 billion (31 December 2012 est.) |
| Stock of broad money: | $49.3 billion (31 December 2013 est.) |
| Stock of broad money: | $493.7 billion (31 December 2012 est.) |
| Stock of domestic credit: | $46.65 billion (31 December 2013 est.) |
| Stock of domestic credit: | $46.23 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $21.63 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $23.24 billion (31 December 2012) |
| Market value of publicly traded shares: | $23.75 billion (31 December 2011 est.) |
| Current account balance: | -$102.3 million (2013 est.) |
| Current account balance: | -$17.59 million (2012 est.) |
| Exports: | $12.36 billion (2013 est.) |
| Exports: | $13.16 billion (2012 est.) |
| Exports - commodities: | transport equipment, machinery, textiles, chemicals, foodstuffs, fuels |
| Exports - partners: | Italy 14.1%, Bosnia Herzegovina 13.1%, Germany 11.1%, Slovenia 10.1%, Austria 6.3% (2012 est.) |
| Imports: | $21.74 billion (2013 est.) |
| Imports: | $22.16 billion (2012 est.) |
| Imports - commodities: | machinery, transport and electrical equipment; chemicals, fuels and lubricants; foodstuffs |
| Imports - partners: | Germany 13.7%, Italy 12.5%, Slovenia 11.5%, Austria 9.1%, Hungary 6.2%, Russia 5.4% (2012 est.) |
| Reserves of foreign exchange and gold: | $11.46 billion (31  December 2013 est.) |
| Reserves of foreign exchange and gold: | $11.95 billion (31 December 2012 est.) |
| Debt - external: | $60.47 billion (31 December 2013 est.) |
| Debt - external: | $61.39 billion (2012 est.) |
| Stock of direct foreign investment - at home: | $37.5 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $36.08 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.081 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $5.581 billion (31 December 2012 est.) |
| Exchange rates: | kuna (HRK) per US dollar - |
| Exchange rates: | 5.775 (2013 est.) |
| Exchange rates: | 5.8503 (2012 est.) |
| Exchange rates: | 5.498 (2010 est.) |
| Exchange rates: | 5.2692 (2009) |
| Exchange rates: | 4.98 (2008) |
